Usuario,Comentario,url_instagram
"joseantoniokast
•
Seguir
Butterfly Indigo•Action Sport Motivational Rock
joseantoniokast
 1 sem
¡Hoy llegamos a Puerto Montt! 🙌
Gracias por el cariñoso recibimiento 🫰🏼🇨🇱
El sur también quiere orden, seguridad y crecimiento.
Vamos a recuperar Chile, paso a paso, ciudad por ciudad. 🇨🇱
rociocampossl
 1 sem
👏👏👏
3 Me gusta
Responder
ux.michell
 1 sem
😍😍
1 Me gusta
Responder
marioly.solar
 1 sem
Mi presi 🇨🇱 ❤️
6 Me gusta
Responder
Ocultar todas las respuestas
alfredo_h_zuniga
 3 días
😂😂😂😂😂
Responder
ximediaz6
 1 sem
Por lejos será uno de los mejores Presidentes 👏
162 Me gusta
Responder
Ocultar todas las respuestas
ani.valra
 1 sem
@ximediaz6 pero si no es presidente por dios, es candidato nomás 😂
6 Me gusta
Responder
ximediaz6
 1 sem
@ani.valra para mi es y sera mi futuro Presidente total en gustos no hay nada escrito 👏
9 Me gusta
Responder
brayan_mms
 1 sem
@ani.valra será dice...
2 Me gusta
Responder
rechazotupropuesta
 1 sem
@ani.valra va a ganar esta vez y ojalá te sumes 🙌
1 Me gusta
Responder
tomando.te.de.peperina
 1 sem
@ximediaz6 Ojalá bien lejos
Responder
cryvxr
 1 sem
@ani.valra señora, aprenda a leer, dice claramente “será”, refiriéndose a una situación en futuro
1 Me gusta
Responder
ani.valra
 1 sem
@cryvxr caballero, estoy cansada, después de un día largo de trabajo 😢
Responder
almendra_trigo
 1 sem
@ani.valra 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱Kast PRESIDENTE
1 Me gusta
Responder
vicho__becerra
 1 sem
@ani.valra como la gran mayoría de los chilenos. Pero para eso vas a descansar en vez de estar tirando hate
1 Me gusta
Responder
ani.valra
 1 sem
@vicho__becerra hate ? Por decir que es candidato y no presidente 😂 tanta sensibilidad
Responder
franciscoinsunza4
 1 sem
@ximediaz6 😂😂😂😂😂😂en qué lugar
1 Me gusta
Responder
ximediaz6
 1 sem
@franciscoinsunza4 chile 😂😂😂😂
Responder
franciscoinsunza4
 1 sem
@ximediaz6 ni en tus sueños 😂😂😂😂
1 Me gusta
Responder
ximediaz6
 1 sem
@franciscoinsunza4 en los míos si 😂
Responder
Mostrar más respuestas
sebita_mendozaxd
 1 sem
El sur todos con kast ❤️
53 Me gusta
Responder
Ocultar todas las respuestas
maaa_tico
 1 sem
No
1 Me gusta
Responder
Ver traducción
noraurtubia
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱el mejor candidato presidencial, Kast presidente de Chile 🇨🇱🇨🇱🇨🇱❤️
40 Me gusta
Responder
Ocultar todas las respuestas
alfredo_h_zuniga
 3 días
@noraurtubia el mejor en cagarlos a todos
Responder
amparo.vidalc
 1 sem
Bien presidente!!!👏👏👏👏
16 Me gusta
Responder
paulaandrea_pri
 4 días
Es buen mozo, excelente facha, tiene clase ….Vamos presidente!!!
Responder
Ocultar todas las respuestas
naty.mch
 1 sem
❤️❤️❤️❤️ grande mi presidente a todo terreno 👏 esta si que es la vencida 💪
18 Me gusta
Responder
cmadinagoitiac
 1 sem
POR AMOR A CHILE ❤️🇨🇱🙏
5 Me gusta
Responder
elizabeth.gonzalezmunoz
 1 sem
Muy bien José Antonio, futuro Presidente de Chile 🇨🇱
48 Me gusta
Responder
armandoruiztagle
 1 sem
Kast presidente en nuestro querido Puerto Montt!!! 🇨🇱
49 Me gusta
Responder
Ocultar todas las respuestas
valdiviasylvia
 4 días
Hay que buscar los Apoderados de mesa con tiempo
1 Me gusta
Responder
sarinpinguin96
 1 sem
Mi presidente 🙌 Vamos que recuperaremos nuestro país 💪
162 Me gusta
Responder
Ocultar todas las respuestas
almendra_trigo
 1 sem
@sarinpinguin96 💪💪💪💪💪💪🇨🇱🇨🇱🇨🇱🇨🇱👏👏👏🔥🙌❤️
2 Me gusta
Responder
franciscoinsunza4
 1 sem
@sarinpinguin96 de quién ????
Responder
sweethousedolls
 1 sem
Grande Kast Presidente!❤️👏👏👏👏
4 Me gusta
Responder
marcosvp039
 1 sem
🙌 Un Grande 🙌 mi Presidente 🙌
31 Me gusta
Responder
aldocabrera819
 1 sem
Vamos Mi Presidente a Recuperar Chile 🇨🇱❤️💪🏻
50 Me gusta
Responder
claudiaceciliavictoriajv
 1 sem
Que así sea, Kast Presidente💪🇨🇱👏
1 Me gusta
Responder
sergioo_marquezz_
 1 sem
Dios bendiga a chile y el capitalismo ❤️🇨🇱🕊
3 Me gusta
Responder
Ocultar todas las respuestas
alfredo_h_zuniga
 3 días
@sergioo_marquezz_ 😂😂😂😂😂😂😂😂
Responder
srapily
 1 sem
Nuestro presidente 🇨🇱🇨🇱🇨🇱🇨🇱
12 Me gusta
Responder
merinopatrcio
 1 sem
GRANDE MI PRESIDENTE
4 Me gusta
Responder
jessica_diaz.carrillo
 1 sem
🇨🇱🇨🇱👏👏👏Kast, Presidente
3 Me gusta
Responder
martasanhuezavasquez
 1 sem
💪💪💪🙌🙌🙌🙌🇨🇱🇨🇱
1 Me gusta
Responder
mthenriquez
 1 sem
Kast no se rinde. Nosotros tampoco 💪🏼🇨🇱♥️
94 Me gusta
Responder
tamarita2397
 1 sem
Debería venir a coelemu otra vez @joseantoniokast
2 Me gusta
Responder
valdiviasylvia
 4 días
El mejor candidato para presidente viva CHILE LIbre
Responder
Ocultar todas las respuestas
alfredo_h_zuniga
 3 días
@valdiviasylvia 😂😂😂😂😂😂😂😂
Responder
olivia.torres.g
 1 sem
👏👏 excelente 💪💪💯 Kast presidente 🇨🇱🇨🇱🇨🇱🇨🇱
54 Me gusta
Responder
patricio_1520
 1 sem
El presidente que Chile se merece
253 Me gusta
Responder
Ocultar todas las respuestas
erwinmiguel16
 1 sem
Nooooo creo 😂😂
4 Me gusta
Responder
allyson_vargas_contanzo
 1 sem
Totalmente cierto
Responder
franciscoinsunza4
 1 sem
😂😂😂😂😂😂😂😂 de diputado no hizo nada y lo quieren de presidente 😂😂😂😂
1 Me gusta
Responder
rod_ferrers
 1 sem
Que gran recibimiento al futuro presidente 🇨🇱
27 Me gusta
Responder
idarosarioreyesherrera
 1 sem
Kast presidente y no hay más ❤️👏🇨🇱🤝
70 Me gusta
Responder
abello1072
 1 sem
Grande kast
1 Me gusta
Responder
javito_020
 1 sem
Primero 🇨🇱💪
2 Me gusta
Responder
kastporchile
 1 sem
PRESIDENTE 🇨🇱
13 Me gusta
Responder
ale_enlarama
 1 sem
JARA PRESIDENTA!
1 Me gusta
Responder
anticomunista.__
 1 sem
Vamos presidente, a recuperar Chile @joseantoniokast ❤️❤️🤪🇨🇱🇨🇱🇨🇱
23 Me gusta
Responder
pasepul
 1 sem
Vota 2 vota Kast 🇨🇱
2 Me gusta
Responder
samir_kipsain
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱paga las contribuciones primero alemán
1 Me gusta
Responder
Ocultar todas las respuestas
cath.y4509
 1 sem
@samir_kipsain ?
Responder
claudiaalejandragutierrezal
 1 sem
%#kastpresidente 🇨🇱🇨🇱
2 Me gusta
Responder
ale_enlarama
 1 sem
JARA PRESIDENTA! 🇨🇱 De conchali a la moneda, una patriota pero de verdad!!!!! 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
franciscasharps
 1 sem
👏👏👏👏👏
2 Me gusta
Responder
vale._.cs._
 1 sem
Cuando por Punta Arenas presidente ❤️
25 Me gusta
Responder
gabi_fer_a
 1 sem
🔥🔥🔥🙌🙌🙌👏👏👏
3 Me gusta
Responder
crazynurse2019
 1 sem
Excelente 👏🏻👏🏻👏🏻... Gracias a todas esas personas que fueron a esperarlo!!!
1 Me gusta
Responder
galazkuschel.carolina
 1 sem
👏👏👏💪💪
2 Me gusta
Responder
gabrielceainostroza
 1 sem
El próximo presidente 🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
angelesmaap
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
lolitmor
 1 sem
👏👏👏💪🇨🇱
2 Me gusta
Responder
aambiado
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱👏👏👏👏👏
2 Me gusta
Responder
solcitovn
 1 sem
Mi presidente ❤️🇨🇱
12 Me gusta
Responder
cynthia_bustosll
 1 sem
Esto no lo muestran en la tv, gran recibimiento!!!! 💪🇨🇱
4 Me gusta
Responder
goodvibees._
 1 sem
🙌🙌
1 Me gusta
Responder
solysol_22
 1 sem
Mi Presidente lo mi Presidente usted será el que nos devielva el chile de antes del ESTALLIDO DELICTUAL..
2 Me gusta
Responder
cocacato
 1 sem
José Antonio Kast y no hay otro
3 Me gusta
Responder
sandramazuela
 1 sem
👏👏👏🇨🇱🇨🇱
3 Me gusta
Responder
flaka_s
 1 sem
😍🇨🇱
2 Me gusta
Responder
gera02955
 1 sem
Kast presidente de Chile
2 Me gusta
Responder
elias_hidalgodemo20
 1 sem
🇨🇱💪
2 Me gusta
Responder
mangelalva77
 1 sem
Podían venir a los pueblos chicos,soy de Hornopiren , jamás ha venido un candidato.
1 Me gusta
Responder
hilda.b.hernandez.1
 1 sem
Futuro presidente de Chile 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱. Lujo de presidente será, por fin una persona culta, preparada, estudioso, siempre en terreno recorriendo Chile y países para sacar buenas experiencias para nuestra patria tan vapuleada. Será un orgullo para nuestra patria, tan vapuleada
2 Me gusta
Responder
jacqueline.zarate.921
 1 sem
👏👏👏👏
2 Me gusta
Responder
irisramosmartinez
 1 sem
🇨🇱🇨🇱🇨🇱👏👏👏
2 Me gusta
Responder
mellado_marlene
 1 sem
Quiero este presidente ,por q chile tenga un presidente buen mozo😂
3 Me gusta
Responder
lotorouse
 1 sem
🇨🇱🇨🇱🇨🇱❤️❤️❤️ KAST, siempre 🇨🇱🇨🇱🇨🇱 KAST
4 Me gusta
Responder
mariamuet
 1 sem
Kast Kast Kast
3 Me gusta
Responder
almonacidmaribel
 1 sem
🇨🇱👏🙌
2 Me gusta
Responder
rossanacorream
 1 sem
Cuando vienes a Quillota?🇨🇱❤️🇨🇱
3 Me gusta
Responder
julie_taolivazou
1 Me gusta
Responder
geniniiiii_
 1 sem
😍😍😍😍
1 Me gusta
Responder
geniniiiii_
 1 sem
Saludame
1 Me gusta
Responder
geniniiiii_
 1 sem
Kast presidente
3 Me gusta
Responder
geniniiiii_
 1 sem
Te amoooo
2 Me gusta
Responder
e.margottgavilan
 1 sem
Vamos mi Presi🇨🇱🔥
4 Me gusta
Responder
jc_maldonado777
 1 sem
🇨🇱🇨🇱🇨🇱 voto Kast 🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
jimmyjhonroaraya
 1 sem
🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡💯💯💯💯💯💯💯💯💯💯💯💙💙💙💙💙💙💙👍👍👍👍👍👍👍👍👍👍
3 Me gusta
Responder
blaksigual
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
luis_vega.m
 1 sem
Vamos. Vamos que se puede 🇨🇱🇨🇱🔥👏
3 Me gusta
Responder
lorenacuevas099
 1 sem
🇨🇱👏👏👏
4 Me gusta
Responder
kena1.4
 1 sem
👏👏👏
2 Me gusta
Responder
mildretconsejal
 1 sem
@pnlp06
Responder
chiqui_genova
 1 sem
🙌❤️🇨🇱👏👏🇨🇱Chile lo nesecita!!
3 Me gusta
Responder
brantconsuelo7772021
 1 sem
👏👏👏🇨🇱🇨🇱🇨🇱vamos Kast presidente 💪 👍 ❤️❤️❤️🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
claudia_m.cas
 1 sem
Pasará x Osorno?
1 Me gusta
Responder
abreuevioleth
 1 sem
🇨🇱❤️
1 Me gusta
Responder
mat1as_fuentes
 1 sem
Grande presidente 👏👏
2 Me gusta
Responder
magalybasso_baeza
 1 sem
Firmes y adelante 💪 👏👏👏👏🇨🇱🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
claudiachaparrocaceres66
 1 sem
JAK 🇨🇱🇨🇱
2 Me gusta
Responder
elena_martinez___
 1 sem
👏👏👏
2 Me gusta
Responder
marianelapolancomelende
 1 sem
👏👏👏👏👏👏👏❤️❤️❤️🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
loreto_matus
 1 sem
@joseantoniokast Presidente 2026 🇨🇱❤️
2 Me gusta
Responder
makazelda
 1 sem
🇨🇱❤️
2 Me gusta
Responder
antonio.jopia
 1 sem
José Antonio somos tocallo es. Kekitara pensiones
1 Me gusta
Responder
Ocultar todas las respuestas
_renueva_tucloset_
 1 sem
👏👏👏
2 Me gusta
Responder
geeenesiscg
 1 sem
Tremendo recibimiento 😍
2 Me gusta
Responder
ale_reyes21
 1 sem
😍😍😍🇨🇱
2 Me gusta
Responder
mariarosa_rubio
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱❤️❤️❤️❤️❤️❤️Kast nuestro presidente 👏👏👏🇨🇱❤️❤️❤️
2 Me gusta
Responder
migsanantillanca
 1 sem
El Salmon Summit será transmitido por tv y/o radio? Alguien sabe?
1 Me gusta
Responder
dannytoledo2020
 1 sem
Cuando viene a Talcahuano?? Hace cuatro años lo fuimos a ver con mis hijos pequeños y ahora ya crecieron..somos todos fanáticos de Kast. Confiamos en que se preocupará de la clase media y no nos dejará en el olvide..además de nunca dejarnos abandonados en la teriible delincuencia que llegó a nuestro país.
5 Me gusta
Responder
by_isagalarza
 1 sem
👏👏👏
2 Me gusta
Responder
oli.via1967
 1 sem
El mejor de los mejores 1000%
2 Me gusta
Responder
maurorland
 1 sem
🔥🔥vamosss
4 Me gusta
Responder
vicentesilvavega_
 1 sem
Grande recorriendo todos los rincones de chile 🇨🇱💪🏻💪🏻
18 Me gusta
Responder
_pisty_
 1 sem
A limpiar el país presidente 🙌💪
10 Me gusta
Responder
maurorland
 1 sem
🇨🇱🇨🇱💪🏽con todo
7 Me gusta
Responder
evelynhenriquezcubillos
 1 sem
❤️❤️❤️❤️🙌❤️
4 Me gusta
Responder
andres_flores2.0
 1 sem
Vamos don Jose Antonio a ganar se ha dicho....yo le jugo campaña con mi familia, amigos y en el negocio que tengo (minimarket) ...se que usted ganara y será un excelente presidente...Dios lo bendiga y saludos desde Coquimbo...
10 Me gusta
Responder
Ocultar todas las respuestas
yeye8937
 1 sem
@andres_flores2.0 🙌🙌🙌🔥❤️🔥❤️
Responder
noemimartinez92
 1 sem
❤️
4 Me gusta
Responder
andres_flores2.0
 1 sem
Hago campaña era la palabra...jajaja...
Responder
estercabrerac
 1 sem
👏👏👏
3 Me gusta
Responder
bernivaldesc
 1 sem
👏👏
3 Me gusta
Responder
mariela.rubilar.547
 1 sem
👏👏👏
4 Me gusta
Responder
maritza.oporto_2020
 1 sem
❤️
3 Me gusta
Responder
antoibacache._
 1 sem
👏❤️
3 Me gusta
Responder
ayun_kids
 1 sem
👏👏👏👏
3 Me gusta
Responder
manusepual_
 1 sem
🚨 FENÓMENO BARRIAL ‼️ !!! @joseantoniokast presidente 🇨🇱🇨🇱🇨🇱🇨🇱
8 Me gusta
Responder
josefariveros45
 1 sem
Kast 🇨🇱 🇨🇱 👏🙌
3 Me gusta
Responder
villenacl2.0
 1 sem
Cuando viene usted Osorno?
3 Me gusta
Responder
dalitralmaquiriban
 1 sem
👏👏👏 muy bien candidato, muchas suerte en todo ese trabajo territorial que está realizando
9 Me gusta
Responder
lilisol_benitobianca
 1 sem
👏👏👏👏👏👏👏👏👏
3 Me gusta
Responder
seba_aravena__
 1 sem
Grande nuestro Presidente @joseantoniokast !!! #KastPresidente 🇨🇱💪🏻
12 Me gusta
Responder
roxanaascoy
 1 sem
❤️❤️❤️❤️Grande presi!!! 😍😍😍
4 Me gusta
Responder
sothers_marcelo
 1 sem
Que actividad tendrá en Pto. Montt? Me la perderé sin falta!
2 Me gusta
Responder
leticiawenig
 1 sem
Kast 🇨🇱 👏👏
4 Me gusta
Responder
sandracastro647
 1 sem
👏👏👏💪💪💪❤️❤️❤️🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
malelifigue
 1 sem
Presidente José Antonio Kast 😍
28 Me gusta
Responder
tiendaolirose
 1 sem
Maravilloso,en Puerto Montt
9 Me gusta
Responder
juvenal.barrera.1
 1 sem
KAST será un lujo de presidente y elegirá a colaboradores de excelencia académica para conformar su equipo de trabajo. Es el candidato más preparado e idóneo para gobernar y recuperar nuestro país. Por carácter, conocimiento, coherencia, determinación y sentido país. KAST PRESIDENTE 2026 y no hay más.
13 Me gusta
Responder
alejandra.aguilera.i
 1 sem
Vamos con todo
7 Me gusta
Responder
lauritgirl2
 1 sem
🔥🔥🔥
3 Me gusta
Responder
fran853503
 1 sem
Chillan mi presi 😎😎😎😎
5 Me gusta
Responder
trebor0484
 1 sem
👏👏👏👏👏👏👏🙌🇨🇱💪🏾
5 Me gusta
Responder
sjairaedo
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
5 Me gusta
Responder
patricio_1520
 1 sem
🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
duarteraissaf
 1 sem
❤️❤️❤️
4 Me gusta
Responder
alejandromeza_amma
 1 sem
👏
4 Me gusta
Responder
greisparadarojas
 1 sem
👏👏👏
4 Me gusta
Responder
janetalfaroleon
 1 sem
KAST ES LO QUE CHILE NECESITA!!!!🇨🇱🇨🇱🇨🇱 BORIC YA NO CAMBIÓ ESTE PAIS, AHORA ES LA OPORTUNIDAD DE HACERLO!!!!
4 Me gusta
Responder
teresafalcon9989
 1 sem
MÁS LINDO MI PRESIDENTE KAST PRESIDENTE 2026 CHILE LIBRE DEL COMUNISMO NO MÁS ZURDOS EN CHILE KAST KAST🇨🇱❤️🇨🇱❤️🇨🇱❤️🇨🇱❤️🇨🇱❤️🇨🇱❤️
17 Me gusta
Responder
aysel74.es
 1 sem
🔥🙌👏
5 Me gusta
Responder
eduardo.vermont
 1 sem
A recuperar chile💪🏻💪🏻💪🏻💪🏻💪🏻
10 Me gusta
Responder
mariana01mc
 1 sem
Cuándo a Concepción?
4 Me gusta
Responder
jcontreras_ase
 1 sem
Futuro Presidente 2026
4 Me gusta
Responder
leonardogabrielfuentealba
 1 sem
En la Araucanía igual lo necesitamos futuro presidente espero nosé olvide de nosotros
8 Me gusta
Responder
mayorga_cristian_
 1 sem
Vamos 🔥🔥🔥
4 Me gusta
Responder
stella_maris_artist
 1 sem
❤️
4 Me gusta
Responder
ceci.lia3813
 1 sem
👏
3 Me gusta
Responder
sol_enelpaisdelasmaravillas
 1 sem
👏👏👏👏❤️
3 Me gusta
Responder
raulantonioher
 1 sem
👏👏👏
3 Me gusta
Responder
pattmoar
 1 sem
Nuestro presidente en Puerto Montt
7 Me gusta
Responder
grabielver
 1 sem
Cada día somos más mi Presidente! Unidos por defender nuestra libertad y el futuro de nuestros niños !!! 🇨🇱 Hermoso recibimiento! Grande Puerto Montt 🇨🇱👍🏻
2 Me gusta
Responder
ferschwerter
 1 sem
En dónde estará?
2 Me gusta
Responder
gabri_elachavarria
 1 sem
👏👏👏🙌🙌🙌🙌❤️❤️❤️
2 Me gusta
Responder
pamesilvap
 1 sem
Qué actividades hay en la zona?? 🙌🙌🙌
3 Me gusta
Responder
pmora.25
 1 sem
Chile está eligiendo al mejor 🇨🇱✌🏻
8 Me gusta
Responder
iturrafranciscagallardo
 1 sem
👏
2 Me gusta
Responder
zitainesgebauer
 1 sem
Kast 🇨🇱🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
elias_niggaaa
 1 sem
Te amo kast ❤️
2 Me gusta
Responder
caro_.2988
 1 sem
Cuando en castro mi futuro presidente 🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
olguitabsc
 1 sem
Vamos presi
3 Me gusta
Responder
martix.estbn
 1 sem
Tirando pura facha el presi 🧏🏻🇨🇱
3 Me gusta
Responder
patriciahenriquez070581
 1 sem
👏👏👏👏👏👏
3 Me gusta
Responder
mirtadelasnieves
 1 sem
👏👏👏estamos con usted José Antonio Kast
3 Me gusta
Responder
clau_andre_a
 1 sem
🔥🔥🔥👏👏👏👏
4 Me gusta
Responder
stormy_jm
 1 sem
Kast Presidente 👏👏❤️🇨🇱🇨🇱🇨🇱💖
3 Me gusta
Responder
luisreyes1801
 1 sem
👏👏👏👏👏👏
3 Me gusta
Responder
ma.e.re
 1 sem
👏👏🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
anitalucy1
 1 sem
Lindo ojalá seas nuestro presidente y la gente vote a conciencia por algo mejor para que nuestro país crezca y se pueda limpiar de toda esta mugre y la corrupción que existe
6 Me gusta
Responder
catalina.medina.m
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
regiiromero
 1 sem
👏👏👏👏👏👏🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
maria_gracielaa
 1 sem
👏👏🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
2 Me gusta
Responder
letjoscat2015
 1 sem
Nuestra esperanza ❤️❤️🙌🔥
2 Me gusta
Responder
yeye8937
 1 sem
Te apoyo hoy .... y EN LOS PRÓXIMOS 4 AÑOS 🙌🙌🙌🙌🙌 KAST 2026
2 Me gusta
Responder
dymaikel2024
 1 sem
🔥
1 Me gusta
Responder
jjaramillogonzalez
 1 sem
Vamos 🇨🇱💪🇨🇱🇨🇱💪
2 Me gusta
Responder
Este reel tiene 782 comentarios de Facebook.
13 364 Me gusta
21 de julio
Más publicaciones de joseantoniokast
Meta
Información
Blog
Empleo
Ayuda
API
Privacidad
Condiciones
Ubicaciones
Instagram Lite
Threads
Subir contactos y personas no usuarias
Meta Verified
Español (España)
Afrikaans
العربية
Čeština
Dansk
Deutsch
Ελληνικά
English
English (UK)
Español (España)
Español
فارسی
Suomi
Français
עברית
Bahasa Indonesia
Italiano
日本語
한국어
Bahasa Melayu
Norsk
Nederlands
Polski
Português (Brasil)
Português (Portugal)
Русский
Svenska
ภาษาไทย
Filipino
Türkçe
中文(简体)
中文(台灣)
বাংলা
ગુજરાતી
हिन्दी
Hrvatski
Magyar
ಕನ್ನಡ
മലയാളം
मराठी
नेपाली
ਪੰਜਾਬੀ
සිංහල
Slovenčina
தமிழ்
తెలుగు
اردو
Tiếng Việt
中文(香港)
Български
Français (Canada)
Română
Српски
Українська
© 2025 Instagram from Meta
Inicio
Búsqueda
Explorar
Reels
Mensajes
Notificaciones
Crear
Perfil
Más
También de Meta",,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Butterfly Indigo•Action Sport Motivational Rock,Butterfly Indigo•Action Sport Motivational Rock,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
rociocampossl,👏👏👏,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ux.michell,😍😍,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
marioly.solar,Mi presi 🇨🇱 ❤️,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
alfredo_h_zuniga,😂😂😂😂😂,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ximediaz6,Por lejos será uno de los mejores Presidentes 👏,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ani.valra,"@ximediaz6 pero si no es presidente por dios, es candidato nomás 😂",https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ximediaz6,@ani.valra para mi es y sera mi futuro Presidente total en gustos no hay nada escrito 👏,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
brayan_mms,@ani.valra será dice...,https://www.instagram.com/reel/DMY9jSwthzP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
