Usuario,Comentario,url_instagram
,equipokast,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Región de Coquimbo,Región de Coquimbo,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
valeecastillocard,Esa es la actitud mi Presidente ! ❤️🇨🇱,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
nadiataba,Nuestro futuro presidente! Grande kast ❤️,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
magdagutt,el unico que ha recorrido Chile❤️🙌,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
antonio24lf,@magdagutt siiiiiooooooooo😂,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
liepox,@magdagutt con plata ajena,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
juanito.j19,@magdagutt parisi es weon?,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
_maaartiiinaaaaa_,@magdagutt ridícula,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
divine_creature45,@magdagutt jajajaj minimo si no nunca ha hecho nada,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
akcarloncho,"@magdagutt en qué país vive ud niña, en el país de las maravillas o en la burbuja absurda con la que te criaron",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
akcarloncho,"No ,plata ajena no , del robo de cables puede ser",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
magdagutt,"@_maaartiiinaaaaa_ martinita deje el odio por rr.ss, como votante de jara deberia actuar desde el amor❤️",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
_maaartiiinaaaaa_,@magdagutt me imagino que tu votante de kast eris como las weas,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
magdagutt,@_maaartiiinaaaaa_ obvioooo,https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
higideco,"@magdagutt que pena q seas tan joven y hables con tanta ignorancia, es responsabilidad tuya informarte y conocer realmente quien es este personaje, dime una sola cosa que haya hecho por el bien de Chile.",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
magdagutt,"@higideco que pena que siendo joven juzgues el pensamiento ajeno, vivimos en democracia amigo y libertad de opinión! es valido mi pensamiento al igual que el tuyo y deberia ser respetado",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
higideco,"@magdagutt claro que tu opinión es valida, no te juzgo, solo me da pena. Se que vivimos en democracia, los que amenazan la libertad son aquellos a los q avalas.",https://www.instagram.com/p/DMNnQidOHb8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
