Usuario,Comentario,url_instagram
"joseantoniokast
y
equipokast
Audio original
joseantoniokast
 3 sem
Llegó la hora de actuar para que Chile vuelva a trabajar, emprender y progresar. Bienvenido Jorge Quiroz. #ChileDespega
luzvaleriavillegasrepublicana
 3 sem
🙌🙌Hay Equipo 💪🇨🇱❤️
3 Me gusta
Responder
Ocultar todas las respuestas
albys_guerrero
 3 sem
@luzvaleriavillegasrepublicana falta talento 😂😂😂😂
Responder
_danipaez
 3 sem
Ya está formando equipo, tan mateo, lo necesitamos pronto! 🙌
30 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
😂😂😂😂😂 FachitaxPobre
3 Me gusta
Responder
_danipaez
 3 sem
@lion.215121 Pobre bot
Responder
tatantaverneb
 1 sem
💪🏾💪🏾
1 Me gusta
Responder
maurooobravo
 3 sem
Esto es muuuuuy PEEEEENCAAA!!!!
9 Me gusta
Responder
manuel.medgal
 3 sem
Te lo dice tu asesor que estuvo involucrado en Penta 😂😂
75 Me gusta
Responder
Ocultar todas las respuestas
franm__m
 3 sem
Fuente: de los delirios
63 Me gusta
Responder
jose_machuca_t
 3 sem
🌶🌶🌶🌶🌶
8 Me gusta
Responder
jasminavegacamus
 3 sem
Fuente www.laranamalvada.com
6 Me gusta
Responder
n_diaz11
 3 sem
Andas pendiente zurdito y tu fuente de los deseos
16 Me gusta
Responder
chicarios1964
 3 sem
Penta??? 😂😂😂😂
2 Me gusta
Responder
owirtz19
 3 sem
Anda asustado porque en el próximo gobierno tendrá que trabajar, y no podrá vivir del trabajo de otros, como le gusta al zurderio 🔥
7 Me gusta
Responder
manuel.medgal
 3 sem
https://www.ciperchile.cl/2025/07/02/principal-asesor-de-las-cuentas-de-campanas-de-kast-y-el-partido-republicano-fue-formalizado-en-caso-penta-por-emitir-boletas-para-moreira/ pa los que dicen que es falso, CIPER hace periodismo de verdad no como la TELE 😂😂
6 Me gusta
Responder
chicarios1964
 3 sem
Ciper: ""Eduardo Montalva fue encargado de asesorar a Kast en las rendiciones de su campaña a la presidencia en 2021, ha colaborado con ocho candidatos del Partido Republicano y es asesor de esa colectividad..."". No aparece mencionado para NADA el Sr. Quiroz al que hacen referencia en este posteo. Ciper podrá hacer periodismo pero sus lectores no postean información acorde a la noticia publicada.
3 Me gusta
Responder
panchofernandezflores
 3 sem
JAK PRESIDENTE 2026-2030, ¡¡¡VAMOS QUE SE PUEDE!!!!💪🇨🇱👍🇨🇱
1 Me gusta
Responder
arielblsphmy
 3 sem
Mejor evadamos impuestos con paraísos fiscales en Panamá😍🇨🇱
6 Me gusta
Responder
csanchep
 3 sem
Llegó la hora del conflicto de interés, o no nos va a contar que le trabaja al grupo Errázuriz para quedarse con el litio que es de todos?
7 Me gusta
Responder
patricio_m13
 3 sem
Estan en modo Leyenda 🇨🇱♥️
44 Me gusta
Responder
monicavictoria64
 3 sem
Jeannette Jara Presidenta 🔥😍🇨🇱
3 Me gusta
Responder
fc_mancilla
 3 sem
El mejor economista por lejos
61 Me gusta
Responder
Ocultar todas las respuestas
_cxisxt.j
 3 sem
@fc_mancilla y el único que no habla de economía y solo se queja jjsjsjaj
1 Me gusta
Responder
fc_mancilla
 3 sem
@_cxisxt.j obvio campeón, nada
Responder
_cxisxt.j
 3 sem
@fc_mancilla una proposición no resuelve el enunciado :3
3 Me gusta
Responder
manuel.medgal
 3 sem
@fc_mancilla un economista de verdad hablaría de diversificación y tecnificación de la economía para hacerla más productiva y fuerte, pero estos repiten como loros; menos impuestos, que trabaje más el obrero y hechar a todos los wnes de las municipalidades 😂😂
1 Me gusta
Responder
albys_guerrero
 3 sem
@fc_mancilla pregúntale qué pasó con su última empresa 😂😂😂😂😂😂
3 Me gusta
Responder
lifeeonmars
 3 sem
Y para cuando explica su vínculo con Francisco San Martín
26 Me gusta
Responder
Ocultar todas las respuestas
gaby_zurita_castillo
 3 sem
@lifeeonmars 👏👏
Responder
franm__m
 3 sem
Espectacular 👏👏👏 aquí una emprendedora esperando que las cosas mejoren con uds. Este gobierno ha sido un desastre, cero apoyo! Queremos crecer, seguir trabajando en paz esforzándonos y ser un aporte, necesitamos las condiciones para eso. Dios le bendiga y le guarde @joseantoniokast la victoria es nuestra 🙌
40 Me gusta
Responder
Ocultar todas las respuestas
angelo2540
 3 sem
Somo muchos los emprendedores que queremos crecer y en este gobierno se ha puesto cuesta arriba el tener un negocio. Tengo la convicción que @joseantoniokast tirara para arriba el país 🙌🙌💪💪💪💪🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
franm__m
 3 sem
@angelo2540 Así es!! Que así sea 💪🏻 🇨🇱
2 Me gusta
Responder
crismithzava
 3 sem
👏👏👏👏q gran equipo,kast pdte 🇨🇱
4 Me gusta
Responder
lionkonj
 3 sem
No es el mismo que agarró pal webeo boric por decir que Chile no crecería y luego las cifras demostraron lo contrario, el mismo que su consultora se gastó un 20% para promover eliminar las contribuciones ?
36 Me gusta
Responder
Ocultar todas las respuestas
farid.pavezz
 3 sem
@lionkonj no
1 Me gusta
Responder
lionkonj
 3 sem
@farid.pavezz no sabes quieres decir 😂
1 Me gusta
Responder
farid.pavezz
 3 sem
@lionkonj no, usted se refiere a otro economista llamado Klaus Schmidt-Hebbel.
1 Me gusta
Responder
lionkonj
 3 sem
@farid.pavezz me hiciste consultar con CHAT GPT ✔ Detalles que lo confirman:
• Fue Jorge Quiroz quien criticó públicamente las proyecciones económicas del gobierno de Boric, diciendo que el crecimiento del país sería mucho menor, aunque finalmente el crecimiento fue superior a lo que él estimaba.
• También es Quiroz quien tiene una consultora que dedicó aproximadamente un 20 % de su trabajo (según él mismo) a propuestas de políticas públicas pro bono, como la eliminación de las contribuciones para la primera vivienda, medida que luego fue incorporada por el programa de José Antonio Kast. A VER QUÉ DIRÁS AHORA ?
3 Me gusta
Responder
farid.pavezz
 3 sem
@lionkonj Nada, al parecer tiene razón.
En todo caso ambas cosas me parecen irrelevantes para la discusión pública.
4 Me gusta
Responder
lionkonj
 3 sem
@farid.pavezz dejémoslo en que tengo razón 😂 👌🏻 gracias
Responder
farid.pavezz
 3 sem
@lionkonj Parece que es todo un logro para ti…
Responder
andresnietosanchez
 3 sem
@lionkonj Yo vi y escuche lo que dijo y chile no creció lo que debia crecer y no sabes com tantas cosas truchas si el número fue inflado o no, lastimosamente la realidad de las arcas de chile y la realidad de la economia se vera cuando vuelvan las verdaderas auditorias al banco central y a los indices que indiquen los auditores externos que se deben cruzar con los auditores internos y validar los numeros
4 Me gusta
Responder
lizzette_896
 3 sem
@farid.pavezz uff hay que dejarlo hay , discutir . Cuando la pobreza sube , el costo de la vida sube , y juran que subieron el sueldo mínimo nos hicieron un favor ?? A los empleados a los empresarios ?? NOS MINTIERON !!
Responder
manuel_recabal
 3 sem
@lionkonj y te sientes orgulloso al crecer 2,3% ??? para con sobre poner la ideología en pro del raciocinio. Las cifras no mienten.
2 Me gusta
Responder
lionkonj
 3 sem
@manuel_recabal creciendo más que USA y todo Europa 😂 al mismo nivel de Australia! déjate de hacer show
1 Me gusta
Responder
manuel_recabal
 3 sem
@lionkonj de que crecimiento me estás hablando hijo del chat gpt, analiza los datos chilenos. Esos son los que tienes que opinar..
Responder
lionkonj
 3 sem
@manuel_recabal jaja pobre wn 😂 anda a llorar a otro lado, saludos desde Turquía 😂
Responder
Mostrar más respuestas
catalina.a.h
 3 sem
Y mueve los papeles rápido para hacer como que trabaja😂😂😂😂😂
1 Me gusta
Responder
katherine_murua
 3 sem
#chiledespegaconkast 👏👏👏
5 Me gusta
Responder
princess.kingdom
 3 sem
Bienvenido! ✨✨
A recuperar Chile🇨🇱✅
El candidato Kast y su equipo son los únicos con preparación y competencias necesarias que el país necesita.
39 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
@princess.kingdom 😂😂😂😂😂😂
1 Me gusta
Responder
maurooobravo
 3 sem
@princess.kingdom bot
1 Me gusta
Responder
eli.coptero_
 3 sem
Le recomiendo que tome sesiones con fonoaudiologos
5 Me gusta
Responder
javito_020
 3 sem
Primero 🇨🇱 👌 👏 💪 🙏. A trabajar y defender la libertad 🗽🇨🇱
14 Me gusta
Responder
spilman_one
 3 sem
Copiando ideas a parisi ajjajaja te pasaste
3 Me gusta
Responder
manusepual_
 3 sem
Tráiganme una Urna para votar ya por #Kast y su equipo. 🇨🇱 #KastPresidente2026
13 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
@manusepual_ aqui te llevo una verga te sirve?
4 Me gusta
Responder
david.san2030
 3 sem
@manusepual_ C H U P A L O
2 Me gusta
Responder
claudia.ortuzar__sh
 3 sem
José Antonio kast es el único candidato realmente preparado para recuperar nuestro país,para aportar de forma positiva a nuestro país,un hombre inteligente, culto y con gran conocimiento para reactivar la economía de nuestro país, José Antonio kast,es el próximo presidente,2026, decretado 🙌🙏🇨🇱❤️
160 Me gusta
Responder
Ocultar todas las respuestas
dariopatriciopb
 3 sem
@claudia.ortuzar__sh 😂😂😂si como no
4 Me gusta
Responder
crisscoach
 3 sem
@claudia.ortuzar__sh gracioso porque Kast en la práctica es súper comunista pero tiene un discurso de extrema derecha jsjsjs
Responder
blaksigual
 3 sem
🌶🌶🌶🌶
Responder
david.san2030
 3 sem
@claudia.ortuzar__sh a😂😂😂😂😂 anda a cuidarle el fundo al patron o estas en horario de colacion
1 Me gusta
Responder
maurooobravo
 3 sem
Inteligente? Jajajajaja la mina chistosa... y recuerda #kastnuncaserapresidente
1 Me gusta
Responder
tomando.te.de.peperina
 3 sem
@claudia.ortuzar__sh ¿Porfa, me podría explicar qué es lo que van a recuperar?
Responder
claudia.ortuzar__sh
 3 sem
@tomando.te.de.peperina Felipe tu súper presidente Boric te hizo creer que venía para sacarte de una Crisis económica,d3lictual y social,para llevarte aún bienestar que nunca te dio y jamás te dara,en la pasada se ro-bo todo y quebro el país, Boric el líder del gobierno de la economía empobrecedora, Boric te ro//bo hasta la dignidad que tanto te prometio
Responder
kloowv
 1 sem
@claudia.ortuzar__sh su economista fue el que hizo la colusión del pollo
Responder
almodopetermartin
 3 sem
Pero seguir inflando rendiciones ante el @servel.chile con empresas de papel, precios sobre el mercado, y servicios no prestados, no ayuda en nada. Menos si con ello, llevan a candidatos electos que terminan vinculados al robo de cables, corrupción y delitos sexuales a menores.
6 Me gusta
Responder
Ocultar todas las respuestas
gaby_zurita_castillo
 3 sem
@almodopetermartin 👏👏👏👏
1 Me gusta
Responder
jawsker
 3 sem
Chile con un 6.5% 2do país con menos pobreza en américa del sur. Argentinos libertarios con un 55%. Gracias BORIC 🇨🇱🔥
53 Me gusta
Responder
Ocultar todas las respuestas
chivalen30
 3 sem
@jawsker esos no son los numeros reales, estan asi que el gobierno entregara la info en enero .. cuando debia entregarlo este mes, que ocultan? Que pobre esta chile?.. 8,9 % de desempleo, 10% de desempleo en mujeres... Solo con estos minimos datos ya se ve que no es un 6.5 😎👌
10 Me gusta
Responder
phgutif
 3 sem
@jawsker argentinos libertarios hace cuanto?? Estudia un poco el por qué llegaron a esa cifra, gente útil tu estado benefactor y empobrecedor los tiene donde tienen que estar.
9 Me gusta
Responder
jawsker
 3 sem
@chivalen30 que raro porque Biobío público la noticia hace 6 días confirmando que la cifra corresponde a mayo de 2025. cuál es su fuente?
4 Me gusta
Responder
miguelcontrerascorrea
 2 sem
@jawsker Fuente confiable Bío Bío??😂😂😂😂😂😂😂😂😂😂
1 Me gusta
Responder
jawsker
 2 sem
@miguelcontrerascorrea cuál es tu fuente de que no es así?
1 Me gusta
Responder
diegomandiolaromero
 2 sem
@jawsker la ignorancia en tu comentario. Milei recibió un país en el suelo gracias a la izquierda argentina, en cambio, Boric recibió un país bien parado, gracias a la derecha.
Responder
catalinajfa13
 1 sem
@jawsker estamos claro que el kichnerismo dejó en reunías a argentina cierto jajajaja
Responder
jawsker
 1 sem
@catalinajfa13 y con milei están mejor supongo
Responder
rociretamalm._
 6 días
@jawsker jajajajaja que ignorancia tan tremenda, argentina llevaba AÑOS sumido en extrema pobreza, de a poco milei ha logrado regular eso, que será un trabajo de más de una década. Decir que es por el liberalismo siendo que no lleva ni un gobierno en el mando es irrisorio🤣
Responder
jawsker
 6 días
de dónde saca esa info? del mismo Milei que promete comida y estabilidad en 35 años?
Responder
felipe.galleguillosbriceno
 2 días
https://www.instagram.com/reel/DMjEnt9yMdZ/?igsh=aHZhb2VnN2l0cXNq
1 Me gusta
Responder
topofactos
 3 sem
Jorge Quiroz!!! Lo máximo!!! Gracias!!! Viva Chile! Gracias Señor 🙌
20 Me gusta
Responder
Ocultar todas las respuestas
graciromero74
 3 sem
Kast presidente 👏👏👏🇨🇱🇨🇱
12 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
@graciromero74 😂😂😂😂PRESIDENTE DEL PICO
1 Me gusta
Responder
solounmelomano
 3 sem
😂😂😂😂😂 MENTIRA
7 Me gusta
Responder
nicosalinasc
 3 sem
🇵🇦🇵🇦🇵🇦🇵🇦
1 Me gusta
Responder
nicosalinasc
 3 sem
🇵🇦🇵🇦
1 Me gusta
Responder
real_d4_life
 3 sem
Vayan a pelar cable a Panamá
1 Me gusta
Responder
771024_
 3 sem
Saque a los extranjeros hasta cuándo estamos chatos
Responder
Ocultar todas las respuestas
monicavictoria64
 3 sem
@771024_ el busca el voto de los venecos !!! No los sacara
1 Me gusta
Responder
Ver traducción
seergiolmt
 3 sem
Kast 2026🇨🇱🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
seergiolmt
 3 sem
🇨🇱🇨🇱🇨🇱🇨🇱
3 Me gusta
Responder
doloresoliden_biobio
 3 sem
Un millón de personas desempleadas, si consideramos un grupo familiar promedio de 3 a 4 integrantes, eso significa que alrededor de 3 millones de chilenos viven con angustia, preocupación diaria e incertidumbre sobre el futuro.
1 Me gusta
Responder
solo.dime_davo
 3 sem
Este si que es un economista de verdad 😮😮😮🔥🔥🔥👏👏👏
6 Me gusta
Responder
viviana_morales_a
 3 sem
Excelente incorporación! Bienvenido Jorge Quiroz 👏👏👏👏👏👏
7 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
@viviana_morales_a 😂😂😂😂 PREGUNTALE POF PENTA
Responder
josetomasbilbao
 3 sem
🔥🔥👏👏
2 Me gusta
Responder
crazynurse2019
 3 sem
Quiero orden y seguridad, progreso con crecimiento económico, más y mejor trabajo para todos, control de las fronteras, basta de abuso por parte del Estado, basta de romantizar la Narcodelincuencia, el terrorismo... Jara no representa NADA de lo que yo quiero para mí, para la familia ni para el país!!! Obvio votaré por el mejor preparado, con gran trabajo en equipo y excelentes propuestas, o sea por Kast y Republicanos 👌🏻
1 Me gusta
Responder
marcos_lopez13221322
 3 sem
Mati un video de todo lo rechazado de los comunistas en seguridad
1 Me gusta
Responder
mono_fenixx
 3 sem
Estamos empantanadisimossss LOS NEGOCIOS ESTAN DESAPARECIENDO ....😔😔
1 Me gusta
Responder
joce_lourdes
 3 sem
👏👏👏
1 Me gusta
Responder
marcos_lopez13221322
 3 sem
🇨🇱🇨🇱
1 Me gusta
Responder
seba_aravena__
 3 sem
#ChileDespega #KastPresidente 🇨🇱💪🏻
9 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
😂😂😂😂
Responder
yeye8937
 3 sem
👏👏👏👏👏👏👏
1 Me gusta
Responder
josemiguelbolados
 3 sem
👏👏👏
2 Me gusta
Responder
eduardorojas_concejal
 3 sem
👏👏👏 #kast2026
6 Me gusta
Responder
polybius2005
 3 sem
👏te amo kast
5 Me gusta
Responder
Ocultar todas las respuestas
david.san2030
 3 sem
@polybius.05 anda a cuidarle el Fundo
Responder
polybius2005
 3 sem
@lion.215121 dile eso a tu vieja que lo tiene mas reventao que venezolano sin papeles
Responder
david.san2030
 3 sem
@polybius.05 anda cuidarle el fundo al patron con perrito faldero
3 Me gusta
Responder
luisfelipesalasgorboi
 3 sem
👏👏👏👏
1 Me gusta
Responder
andrescolomaramirez
 3 sem
👏👏👏👏👏
2 Me gusta
Responder
chichivergarasoruco
 3 sem
👏👏👏
2 Me gusta
Responder
maquinariaspg
 3 sem
Dream team #Chiledespega 🙌🇨🇱
7 Me gusta
Responder
roxgala29
 3 sem
👏👏👏❤️
2 Me gusta
Responder
zunildamagalymerinomerino
 3 sem
Excelente 👌🇨🇱
3 Me gusta
Responder
pololadeleon
 3 sem
👏👏👏
2 Me gusta
Responder
seergiolmt
 3 sem
Vamos 🔥🔥🔥
2 Me gusta
Responder
seergiolmt
 3 sem
🔥🔥🔥🔥
2 Me gusta
Responder
cristian_7713a
 3 sem
👏👏👏 kast presidente 🇨🇱
7 Me gusta
Responder
david.san2030
 3 sem
😂😂😂😂😂😂
1 Me gusta
Responder
benjax95
 3 sem
🔥🔥
1 Me gusta
Responder
j_nazza_paint
 3 sem
El sueldo en utm o uf 🔥
1 Me gusta
Responder
leonardoalexander1985
 3 sem
Cuando sacan a claudio Orrego? Que pasa con larrain? Finalmente no hacen nada... Perderán votos sino dan una señal concreta, son puras luces, como todos, queremos formalizados y presos.
1 Me gusta
Responder
alokerosushii
 3 sem
👏👏👏la vida la vída es un carrusellll
2 Me gusta
Responder
cam.ceatolei
 3 sem
👏👏👏👏👏👏
Responder
jjorqueral27
 3 sem
👏👏👏👏👏
Responder
geobasso
 3 sem
👏👏
Responder
patriciaguzmancerda
 3 sem
Que hará con todos los médicos extranjeros en hospitales que literal matan pacientes porque no saben nada ? Que hará para que carabineros vuelva a poner orden en todo sentido ,porque ya ni siquiera sacan parte a los que se estacionan al medio de la calle . Que hará con tanto cargo público, antes era alcalde , gobernador , ahora alcalde , delegado provincial , gobernador . El estado sigue creciendo y con gente que ni siquiera es profesional etc etc ....
Responder
latamotour
 3 sem
👏👏👏👏👏
Responder
lucas.madariaga.flores
 3 sem
👏🏼👏🏼👏🏼
Responder
wordinaries
 3 sem
Qué será de Don Jorge Quiroz?
Responder
javimunozdi
 3 sem
Por que arrastra tanto las palabras para hablar jajaja me desespera😅😅
Responder
jorgasba
 3 sem
🔥🔥🔥🔥
Responder
gonzalo_saavedra_e
 3 sem
👏👏👏👏
Responder
thomas.kr96
 3 sem
👏👏❤️
Responder
d.aceituno31
 3 sem
👏👏👏
Responder
isolinanavarrete
 3 sem
❤️❤️❤️❤️
Responder
sabas_montero
 3 sem
Equipazo 👏🇨🇱
Responder
bellota_uc_
 3 sem
👏👏👏👏👏👏
Responder
catalina_vera_concejal
 3 sem
Se pasó 🙌🔥👏
Responder
fonchiiiiii
 3 sem
Excelente 🙌🔥
Responder
francisco.j.hidalgo34
 3 sem
👏👏👏👏👏👏👏❤️🔥🇨🇱
Responder
alejandra_alvarado_diaz
 3 sem
🤩🤩🤩🤩
Responder
phalacrocoraxgutural
 3 sem
este es el que boric intentó cagarse 😂
Responder
josefariveros45
 3 sem
👏👏🙌
Responder
carobassket
 3 sem
Vamos mi presidente .... vamos futuro ministro de hacienda....
Responder
yohenkari
 3 sem
Vamos presi con todo!!!! ❤️
Responder
_.torresgonzalo
 3 sem
👏👏🙌
Responder
natyletelier
 3 sem
🙌🙌🙌🙌🙌🙌🙌🙌
Responder
matiasignaciopalmer
 3 sem
Desregular
Responder
clmlrar
 3 sem
👏👏👏👏👏👏👏👏
Responder
_tenebras_luxx_
 3 sem
No pero como va a ser culpa de la especulación inmobiliaria jajjjajajaja
Responder
luciasotomayorz
 3 sem
👏👏👏👏👏
Responder
grabielver
 3 sem
CADA DÍA TENEMOS MEJORES EQUIPO PARA RECONSTRUIR NUESTRO PAÍS 🇨🇱 #KastPresidenteDeChile #SoloQuedaRepublicanos #ChileDespega ✌🏻🙌🏻🇨🇱🙏🏻
Responder
lizzette_896
 3 sem
@joseantoniokast 👏👏👏👏 #aquihayequipo #recuperemoschile🇨🇱 #joseantoniokastpresidente2026 #joseantoniokastynohaymas #republicanos
Responder
javieranriquez14_
 3 sem
Qué opinas sobre los casos de las fuerzas armadas ?????????
Responder
vcaceresch
 3 sem
Buen poroto se mandó Kast
Responder
_.maxlopez._
 3 sem
Próximo ministro de economia 👏
Responder
Ver traducción
mariela.aguiluz
 3 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱. Vamos con todo a recuperar nuestro país. Kast Presidente!!!.
Responder
wild.rosemaryy
 3 sem
MAN-CHILD!!
Responder
Ver traducción
pamelavalck
 3 sem
La victoria es nuestra👏👏👏👏
Responder
sandoval_rff
 3 sem
Por Qué No Se Van / Los Prisioneros
Responder
cardenio_uribe
 3 sem
🇨🇱Parisi presidente 2026🇨🇱
Responder
ceciliacortesalvarez
 3 sem
hermoso 🥰
Responder
tote.pino
 3 sem
Bienvenido aportar por Chile 🇨🇱para un país de trabajo y justo para los trabajadores
Responder
melytastica
 3 sem
Tus papás son primos
Responder
terebugmannb
 3 sem
🇨🇱🇨🇱👏👏🇨🇱🇨🇱
Responder
laurita_1961
 3 sem
Total y absolutamente de acuerdo con Ustedes. Confiaremos mucho en Ustedes y en Todo El equipo multidisciplinario que a formado Jose Antonio Kast. Siempre eh creído en EL pues esta formado con rigurosidad que en estos tiempo se necesita. Creó fehacientemente en Kast y que sabrá llevar las ""riendas"" y LIDERANDO con firmeza y sabiduría. CHILE YA DIJO NO AL COMUNISMO CLARO Y FUERTE EL 29 DE JUNIO y sabemos y Jose Antonio SERA EL PRESIDENTE DE CHILE Y QUE NO HAY OTRO IGUAL.
Responder
espinozapallacan
 3 sem
🇨🇱👏el mejor lider y candidato con un programa claro, estructurado y que va en beneficio de la seguridad de Chile y el desarrollo de nuestro pais Kast Presidente 2026👏
Responder
zamorano_leiva
 3 sem
Grande Kast
Responder
patriciarojasverdug
 3 sem
Ese
Responder
patriciarojasverdug
 3 sem
Ese es Jorge quiroz
Responder
patriciarojasverdug
 3 sem
Ayy me repetí
Responder
Ver traducción
nicosalinasc
 3 sem
🇵🇦
Responder
nicosalinasc
 3 sem
🇵🇦
Responder
nicosalinasc
 3 sem
🇵🇦🇵🇦
Responder
nicosalinasc
 3 sem
🇵🇦🇵🇦🇵🇦
Responder
nicosalinasc
 3 sem
🇵🇦
Responder
nicosalinasc
 3 sem
🇵🇦🇵🇦🇵🇦
Responder
ingridpepi
 3 sem
👏👏
Responder
bbrunoecheverria
 3 sem
👏👏👏👏👏👏
Responder
auroraelizabeth.maldonadomunoz
 3 sem
EXELENTE INFORMACIÓN 👏👏👏👏👏👏👏
Responder
Este reel tiene 213 comentarios de Facebook.
4222 Me gusta
10 de julio
Más publicaciones de joseantoniokast
Meta
Información
Blog
Empleo
Ayuda
API
Privacidad
Condiciones
Ubicaciones
Instagram Lite
Threads
Subir contactos y personas no usuarias
Meta Verified
Español (España)
Afrikaans
العربية
Čeština
Dansk
Deutsch
Ελληνικά
English
English (UK)
Español (España)
Español
فارسی
Suomi
Français
עברית
Bahasa Indonesia
Italiano
日本語
한국어
Bahasa Melayu
Norsk
Nederlands
Polski
Português (Brasil)
Português (Portugal)
Русский
Svenska
ภาษาไทย
Filipino
Türkçe
中文(简体)
中文(台灣)
বাংলা
ગુજરાતી
हिन्दी
Hrvatski
Magyar
ಕನ್ನಡ
മലയാളം
मराठी
नेपाली
ਪੰਜਾਬੀ
සිංහල
Slovenčina
தமிழ்
తెలుగు
اردو
Tiếng Việt
中文(香港)
Български
Français (Canada)
Română
Српски
Українська
© 2025 Instagram from Meta
Inicio
Búsqueda
Explorar
Reels
Mensajes
Notificaciones
Crear
Perfil
Más
También de Meta",,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Audio original,Audio original,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
luzvaleriavillegasrepublicana,🙌🙌Hay Equipo 💪🇨🇱❤️,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
albys_guerrero,@luzvaleriavillegasrepublicana falta talento 😂😂😂😂,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
_danipaez,"Ya está formando equipo, tan mateo, lo necesitamos pronto! 🙌",https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
david.san2030,😂😂😂😂😂 FachitaxPobre,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
_danipaez,@lion.215121 Pobre bot,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
tatantaverneb,💪🏾💪🏾,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
maurooobravo,Esto es muuuuuy PEEEEENCAAA!!!!,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
manuel.medgal,Te lo dice tu asesor que estuvo involucrado en Penta 😂😂,https://www.instagram.com/reel/DL7JJgmOBR-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
