Usuario,Comentario,url_instagram
,equipokast,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
equipokast,equipokast,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
mane.villesca,Mi Presi 💙🤍♥️ USTED es nuestra esperanza. Dónde está mi urna para hacer la raya 😅,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
michimosquera,Vamos Presidente ya queda poco ❤️❤️❤️❤️ para ganar❤️❤️❤️,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
angela.marconi27,👏👏👏👏👏🇨🇱,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
fran_cisku,Aquí tienen un apoyo más Presidente 👏,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
martitaal1001,Cuente con mi apoyo el de mi familia y amigos por un Chile mejor,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
nachostep,Chile necesita urgente a JAK 💘,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
pelao_neumann,👏👏👏👏 Tiene y debe ser el próximo presidente de chile,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
cataluli.a,Kast es todo lo que Chile necesita!! 🇨🇱🇨🇱🇨🇱👏👏👏,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
lu_mirandapturquesa,Mi Presidente voté y votaré nuevamente por usted 🇨🇱 para que recuperemos nuestra amada Patria.,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
andressjskw,Grande mi presidente. ¡La tercera es la vencida! Viva Chile 🇨🇱,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
bernardita1919,👏👏👏👏👏👏👏👏👏👏👏👏😍,https://www.instagram.com/p/DLxOBKiulEM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
