Usuario,Comentario,url_instagram
,joseantoniokast,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
joseantoniokast,joseantoniokast,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
damita__negra,👏👏👏👏,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
acpameladelcarmen,Bien mi presidente,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
neasgueb,👏👏👏👏👏👏,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
denisse.mercedes,Recuperar y hacer más carceles,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
amaliaarratia,🙌🙌🙌🙌🙌 Mi presidente José Antonio Kast 🙌🙌🙌🙌🙌🙌,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
fernando.olavarria_,@amaliaarratia El amigo del traficante de cobre?😫😫,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
chany.riv,@fernando.olavarria_ 😂😂😂😂😂😂😂,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
bernarda_zenteno_vicencio,Vamos que se puede kast presidente 🇨🇱,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
felenanastasia,"Si mi presidente Kast visitó y conoce las medidas de Bukele, nada puede salir mal 😍👏🇨🇱💪",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
jessicaespinoza.s,Mi presidente 😍💪💪,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
marisolbarrientospereira,@jessicaespinoza.s Si. 🇨🇱🇨🇱🇨🇱🇨🇱,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
carol___ruizand,Excelente Futuro Presidente de Chile 🇨🇱🇨🇱,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
artes.marcellaa,Más fiscalizaciones en el poder judicial es ahí el problema mucha corrupción .,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ortizduarte80,"Tiene mi voto, solo le pido que cumpla su promesa...",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
jessicaarojas1,"Vamos Presidente.... ""Todo estará bien""",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
juvenal.barrera.1,"KAST será un lujo de presidente y elegirá a colaboradores de excelencia académica para conformar su equipo de trabajo. Es el candidato más preparado e idóneo para gobernar y recuperar nuestro país. Por carácter, conocimiento, coherencia, determinación y sentido país. KAST PRESIDENTE 2026 y no hay más.",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
hilda_mm23,@juvenal.barrera.1 👏👏👏👏👏👏👏,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
caro.romefig,Todo lo que chile necesita !!,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ciclo_viajero__mtb,Con todo por @joseantoniokast 💪🏻👏🏽👏🏽,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
olafybranka,👏👏👏🇨🇱🇨🇱🇨🇱,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
janette_cuevas7,👏👏👏👏👏,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
konchalino,"Hagan más cárceles un poco alejadas y modernas a la actualidad, y no se olviden de hospitales especialmente en la zona Norte de Santiago porfis que la necesitamos con urgencia..🙌",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
cleartver,"Cárceles. En el desierto. ..el agua ya no. Es un problema. ,se puede subir de igual forma que lo hace Antofagasta minerals.. vamos !!!💪🇨🇱💪🇨🇱💪",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
alexander.fierro21,"El Sr Kast es el unico que a hecho propuestas concretas, debo reconocer que en 2017 estaba exceptico de él, pero despues al pasar los años y escuchar sus ideas, él es presidente que necesita Chile, aunque en el 2022 se haya perdido, él siguio firme en sus convicciones y eso es algo que él no tranza, Sr Kast usted sera el proximo presidente de Chile",https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
hilda_mm23,@alexander.fierro21 👏👏👏👏🇨🇱,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
mayiiiitooo1,@alexander.fierro21 😂😂😂😂😂 super correctas sobretodo la de indultar a las valientes soldadas 😂😂😂😂😂😂,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
natynovoa.c,El único 💪🇨🇱 quien salvará nuestro amado Chile 🇨🇱 Presidente 2026 !! @joseantoniokast 🇨🇱😍,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
myriamandrea2503,👏👏👏 con todo,https://www.instagram.com/p/DMYZkv9vquR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
