Usuario,Comentario,url_instagram
"equipokast
joseantoniokast
y
equipokast
La Higuera, Región De Coquimbo
joseantoniokast
 2 sem
Mientras algunos pierden el tiempo hablando de política, nosotros nos ocupamos conversando con las personas de sus urgencias. En el caso de La Higuera es seguridad, inmigración, falta de infraestructura y abandono económico.
franm__m
 2 sem
Muy bien presi 😍❤️👏👏👏 siga así !! Dios lo bendiga
9 Me gusta
Responder
Ocultar todas las respuestas
martinnchr
 2 sem
¡JAK PRESIDENTE!
24 Me gusta
Responder
Ocultar todas las respuestas
jawsker
 2 sem
buscando votos en vez de ganárselos trabajando? aprobando leyes desde el puesto y la gente que lo banca?
2 Me gusta
Responder
brianvalenzuela199
 2 sem
De que sirve saber las urgencias de las personas si usted gobernará para el empresario por algo quiere quitar beneficios que pag el empleador
4 Me gusta
Responder
tsihara
 2 sem
La canción dice ""proteger la Antártica, el desierto y las fronteras"" ...cuando todo lo quiere vender a empresas extranjeras😂 y proteger las fronteras de sus principales votantes venezolanos?😂
31 Me gusta
Responder
ohhsolemio
 2 sem
Yo, siempre con Kast 🇨🇱 ❤️no me equivoco #KastPresidente
7 Me gusta
Responder
crazynurse2019
 1 sem
Excelente canción 👏👏👏... Me representa del TODO obvio votaré por Kast y por Republicanos👏👏👏👏
1 Me gusta
Responder
dana_isabella08
 2 sem
Presidente José Antonio Kast, Cómo siempre jugandosela, por todos los CHILENOS de Norte a Sur y escuchando a las personas sin distinción alguna ud. de verdad ama a mi amado querido paí🗽🗽🗽🗽 🇨🇱🇨🇱🇨🇱🇨🇱
17 Me gusta
Responder
Ocultar todas las respuestas
yaz_mindschief
 2 sem
@dana_isabella08 Kast estuvo 16 años siendo diputado ¿Cual fue su aporte? Busque que leyes impulso. Ninguna. 16 años siendo parasito del estado, increible
Responder
dana_isabella08
 2 sem
@yaz_mindschief sra..no se quedé en el pasado, viva el presente..👁👁🤔🤔🤌🤌
1 Me gusta
Responder
toomknights
 2 sem
JARA ❤️‍🔥
2 Me gusta
Responder
elia.vasquez.359
 2 sem
Yo desde mi Lotita Amado voto Kast
2 Me gusta
Responder
flakita.27
 2 sem
Usted será el próximo presidente que Chile necesita Kast2026🇨🇱🤍❤️💙
80 Me gusta
Responder
Ocultar todas las respuestas
yaz_mindschief
 2 sem
@flakita.27 Kast estuvo 16 años siendo diputado ¿Cual fue su aporte? Busque que leyes impulso. Ninguna. 16 años siendo parasito del estado, increible
5 Me gusta
Responder
galactiko_0
 2 sem
@yaz_mindschief seguro es mejor tu presidenta que quiere tratar los delincuentes con amor 😹
Responder
illarynn
 2 sem
@galactiko_0 No puedes argumentar nada en cuanto a que tu candidato no hizo ninguna ley beneficiando a los chilenos por 16 años como diputado? Ahora el promete que cambiara TODO CHILE en 4 años¿De verdad le crees?
1 Me gusta
Responder
galactiko_0
 2 sem
@illarynn viejaa hay que ver cuales son las prioridades del pais, lo mismo que cuando tu te vistes que te pones primero no creo que el pantalón antes que la ropa interior, lo mismo pasa con Chile la prioridad hoy en día es la delincuencia y esa no es la prioridad de tu presidenta
Responder
baby_lemonade.jp
 2 sem
@flakita.27 a kast no le interesas, Mujer☠️
3 Me gusta
Responder
judithsoto1966
 2 sem
👏👏👏🇨🇱
Responder
piero_jimenez10
 1 sem
@yaz_mindschief y que hizo jara cuando fue ministra de trabajo jajaj, no hubo desempleo femenino? Jajaja el chiste se cuenta solo.
Responder
rv_elasco
 2 sem
SIEMPRE EN TERRENO, KAST PRESIDENTE. 🇨🇱🙌
43 Me gusta
Responder
Ocultar todas las respuestas
eldulcedelamaggia_alfajores
 2 sem
Ese es nuestro FUTURO PRESIDENTE, vamos con todo 🇨🇱
3 Me gusta
Responder
pablogarrido244
 2 sem
Apareció por los barrios😂que paso estarán en campaña? 😂😂😂
2 Me gusta
Responder
ana.karengc
 2 sem
😍 @joseantoniokast hasta cuando por la región!!! 😍
5 Me gusta
Responder
Ocultar todas las respuestas
yaz_mindschief
 2 sem
JARA PRESIDENTA DE CHILE 👏👏
41 Me gusta
Responder
Ocultar todas las respuestas
matiasespinozau99
 2 sem
@yaz_mindschief jajaja
Responder
matiasespinozau99
 2 sem
@yaz_mindschief Si sale Kast a cuba los pasajes, si es otro tipo de democracia según Jamones Jara😂
4 Me gusta
Responder
anita_hidalgo_perez
 1 sem
@yaz_mindschief pero usted porque viene acá a comentar vaya a serle campaña a la jara
Responder
yaz_mindschief
 1 sem
@anita_hidalgo_perez por que soy libre de hacer lo que quiero 😍
Responder
a.martinaa12
 1 sem
@yaz_mindschief pero no de pensar jajajaja
Responder
mayela042000
 1 sem
@yaz_mindschief 😂😂😂😂😂😂
Responder
erikadiaz581
 1 sem
Y dale que la gallinas mean
Responder
150162.e
 2 sem
esoo acciones y no palabras. El futuro de chile👏🏻🙌🏻
24 Me gusta
Responder
Ocultar todas las respuestas
velozo.h.patricia
 2 sem
Y facilidad para seguir las platas ilegales, levantar secreto bancario
1 Me gusta
Responder
daniel.esteban_g
 2 sem
#kast2026🇨🇱
7 Me gusta
Responder
miguelcontrerascorrea
 2 sem
Ya, pero apoyas el levantamiento del secreto bancario? Ups 😬
85 Me gusta
Responder
Ocultar todas las respuestas
veronica_bascour_hayashi
 2 sem
@miguelcontrerascorrea EL SECRETO BANCARIO NO EXISTE SI ERES IMPUTADO O INVESTIGADO...sabes de qué trata el secreto bancario a cualquiera,y a lo que te expones,o sólo repites mierda?
21 Me gusta
Responder
_jupiteer_.22
 2 sem
@miguelcontrerascorrea ya pero apoyas el sicariato o al tren de Aragua? Ups 😬
6 Me gusta
Responder
marcelupiz
 2 sem
@miguelcontrerascorrea de manera Indiscriminada ,no
1 Me gusta
Responder
_ga.nt
 2 sem
@miguelcontrerascorrea quieres que te revisen hasta debajo la lengua ? XD
Responder
miguelcontrerascorrea
 2 sem
No soy político, ni empresario, ni integrante corrupto de las ffaa y de orden 😂 Que pase el sgte defensor de KKast jaja
5 Me gusta
Responder
galactiko_0
 2 sem
@miguelcontrerascorrea a tu vieja me la voy a levantar pata al hombro
Responder
miguelcontrerascorrea
 2 sem
@galactiko_0 Callao bot😂
1 Me gusta
Responder
heector16
 2 sem
El que nada malo hace, nada teme. De eso se trata levantar el secreto bancario. Ahora sí UD esta asustada por lo que se podría exponer de UD, es por algo...
1 Me gusta
Responder
gusmancilla_
 2 sem
@miguelcontrerascorrea cualquier juez puede levantarlo
Responder
miguelcontrerascorrea
 2 sem
@gusmancilla_ Roza lo inocente este comentario. Cualquier juez? 🤑 se hará con celeridad? Sin trabas o demoras? A cualquier persona? 🤑😁
1 Me gusta
Responder
miangar21
 2 sem
""perder el tiempo hablando de política"", disculpa pero la política implica hablar de los problemas y necesidades de la gente, con eso plantear las ideas para solucionar eso. Acepto la estrategia de no hablar, pero no se equivoque con lo que es la política porque tarde o temprano tendrá que tomar posición le guste o no.
13 Me gusta
Responder
elbosque._
 2 sem
Cuidado con el lobby, que te pillaron hoy intentando hablar con la alcaldesa, de manera informal
31 Me gusta
Responder
Ocultar todas las respuestas
veronica_bascour_hayashi
 2 sem
🙄🤦
Responder
elbosque._
 2 sem
Es lo que pasa detrás de las fotos nomás 🤷🏻‍♂️.
1 Me gusta
Responder
_jupiteer_.22
 2 sem
Claaarooo, un poco mas y te hacen creer que eres el unico en el universo 😂
7 Me gusta
Responder
elbosque._
 2 sem
@_jupiteer_.22 Trabajo en La Higuera. Literalmente lo dejaron plantado en la plaza al frente de la muni
3 Me gusta
Responder
_jupiteer_.22
 2 sem
Le preguntaste? O solo lo supones
1 Me gusta
Responder
elbosque._
 2 sem
@_jupiteer_.22 Yapues, no hay que ser muy vivito tampoco po. Saludos
1 Me gusta
Responder
veronica_bascour_hayashi
 2 sem
🙄🙄🙄🙄🙄
Responder
veronica_bascour_hayashi
 2 sem
Siempre tirando para abajo suponiendo y tirando mierda ..yo no soy de derecha,ni izquierda...Pero se reconocer cuando hay trabajo para una foto o cuando es real. .por eso este tipo me convenció,porque lo he visto en terreno y no cambia el discurso..a diferencia del PC y FA.
3 Me gusta
Responder
un.nico63
 2 sem
""No soy de derecha ni de izquierda"" es súper claro de que lado es 😂
1 Me gusta
Responder
veronica_bascour_hayashi
 2 sem
@un.nico63 🙄🧠🧠🧠🧠🧠🧠comentario aweonao del día. No me caso con la política,Pero si prefiero la democracia desde donde venga, salvó el PC
1 Me gusta
Responder
unna.linna
 2 sem
Pucha que tiene una idea muy distorsionada de lo que es política 😵😵😵
1 Me gusta
Responder
juanpazuritajvz1
 2 sem
Candidato, no ande bloqueando gente en las redes por que le hacen preguntas, preocúpese de quienes le faltan al respeto mejor.
1 Me gusta
Responder
eckoand
 2 sem
Gracias mi presidente por la visita a nuestra comuna, lo primero que debe realizar un candidato es conocer cada rincón de su País…
Sabemos que no se olvidará de nosotros 🫶🏻🫶🏻
9 Me gusta
Responder
nancyriquelmebalboa
 2 sem
Siempre con Kast 🙌🙌❤️❤️🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
35 Me gusta
Responder
Ocultar todas las respuestas
alejandra.vergararubio
 2 sem
Kast Presidente ❤️
2 Me gusta
Responder
calfar0__
 2 sem
JAK🇨🇱🙌
1 Me gusta
Responder
yaz_mindschief
 2 sem
Jara presidenta 📈📈
16 Me gusta
Responder
Ocultar todas las respuestas
matiasespinozau99
 2 sem
@yaz_mindschief jajaja
Responder
jennivalenciaaedo
 2 sem
Excelente 👏👏👏🇨🇱❤️ Un Presidente para Chile que se preocupa de las necesidades de las país
5 Me gusta
Responder
lirium73
 2 sem
Puro hate al partido republicano pero loa chilenos sabemos realmente la verdad
1 Me gusta
Responder
constanza.mariel
 2 sem
Kast Presidente 🇨🇱
2 Me gusta
Responder
ale_enlarama
 1 sem
JARA PRESIDENTA!
1 Me gusta
Responder
grabielver
 2 sem
😎🇨🇱 🙌🏻 🙏🏻 KAST el presidente que Chile necesita con urgencia 🇨🇱✌🏻
11 Me gusta
Responder
andresmartinez9238
 2 sem
Bueno, esos temas también son políticos, deje de engañar a las personas.
3 Me gusta
Responder
un.nico63
 2 sem
""No puedo pisar el palito hablando de facturas falsas y mi financiamiento, o que me llamaron a declarar por el robo de cables...""
26 Me gusta
Responder
Ocultar todas las respuestas
kenagarciavaras
 2 sem
@un.nico63 acaso llamaron a todos los socialistas por el caso del VIOLADOR MONSALVE
10 Me gusta
Responder
_tenebras_luxx_
 2 sem
@kenagarciavaras señora entrece, está mezclando peras con manzanas...o llamaron a los defensores de Paul shafer
8 Me gusta
Responder
150162.e
 2 sem
@_tenebras_luxx_ al parecer la gente de hoy en dia no se informa ante de hablar, es increible la ignorancia de hoy en dia. por suerte nuestro querido presidente @joseantoniokast se preocupa por la educación
Responder
crisreal94
 2 sem
@un.nico63 diganle que si 🤣🤪🤪🤪
Responder
reneastorgagalvez
 2 sem
@150162.e 😂😂😂😂😂
Responder
un.nico63
 2 sem
Dime q no po
Responder
giani.7
 2 sem
Cuando fui apoderado de mesa hace casi 4 años atrás .. sufrí una caída en noviembre nuevamente votó José Antonio Kast ♥️♥️♥️
31 Me gusta
Responder
Ocultar todas las respuestas
ale_enlarama
 1 sem
JARA PRESIDENTA! 🇨🇱 De conchali a la moneda, una patriota pero de verdad!!!!! 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
1 Me gusta
Responder
aurora.montecinos
 2 sem
🇨🇱💪💪💪💪 JEANNETTE JARA PRESIDENTA 💪💪💪💪🇨🇱
4 Me gusta
Responder
Ocultar todas las respuestas
seergiolmt
 2 sem
@aurora.montecinos JAJAJA Y CON QUE VOTOS 😂😂😂
2 Me gusta
Responder
11rosa.sepulveda.121
 2 sem
Mi humilde opinión..basta de peleas chicas como veo en todos lados.Los problemas de fondo son lo que necesitamos, Chile para los chilenos primero, @joseantoniokast
1 Me gusta
Responder
veronica_bascour_hayashi
 2 sem
Desde el alma deseo que salga y levante Chile👏👏👏
10 Me gusta
Responder
Ocultar todas las respuestas
reneastorgagalvez
 2 sem
Como milei levantó argentina? Que ilusa
1 Me gusta
Responder
veronica_bascour_hayashi
 2 sem
@reneastorgagalvez Parece que no conociste el Argentina anterior. Yo si. Slds ..
Responder
claudia.ortuzar__sh
 2 sem
Vamos, vamos, José Antonio kast, presidente 2026 🙌❤️🇨🇱
19 Me gusta
Responder
Ocultar todas las respuestas
boyita26
 2 sem
@claudia.ortuzar__sh 🇨🇱🇨🇱👏👏👏
2 Me gusta
Responder
claudiabravoo___
 2 sem
Mi presidente 😍❤️🙌
16 Me gusta
Responder
Ocultar todas las respuestas
jfarrarip
 2 sem
@claudiabravoo___ nuestrooo
1 Me gusta
Responder
ignacio.calvo.r
 2 sem
Vamos por TODA una derecha unida , parlamento y presidencia o nos vamos a arrepentir y no poder realizar los cambios necesarios para hacer grande a Chile
7 Me gusta
Responder
luz_f7
 2 sem
Vamos que se puede con toda la fe @joseantoniokast 🇨🇱
13 Me gusta
Responder
annita_44
 2 sem
Kast ❤️❤️❤️
5 Me gusta
Responder
yeye8937
 2 sem
Kast 2026 🙌🙌🙌
8 Me gusta
Responder
mari821a
 2 sem
Vamos JAK !💪💪💪🇨🇱
5 Me gusta
Responder
_odhiil_
 2 sem
👏👏👏 El más preparado no hay duda...
15 Me gusta
Responder
jorge_hurtado2024
 2 sem
Gran compromiso .. la higuera necesita apoyo !..
1 Me gusta
Responder
charl13_17
 2 sem
Arriba el kast
1 Me gusta
Responder
morasaes
 2 sem
Vamos kast presidente de 🇨🇱
1 Me gusta
Responder
manusepual_
 2 sem
Si bien voy a votar por usted, el
Mensaje debe ser más duro, las leyes chilenas ya no son capaces de aguantar la nueva criminalidad. Debe desincentivar el delito, pena efectiva perpetua a cualquier asesino, secuestrador o sicario. 60 años mínimo en una cárcel en el desierto 😎
9 Me gusta
Responder
luianperez_
 2 sem
Espero que no solo ayudes a las personas de tu nivel , tienes que ayudar a todo chile y sacar a todos los inmigrantes del país fin 🇨🇱
1 Me gusta
Responder
ghcmedios
 2 sem
Así se hace mi futuro presidente 🙌🙌🇨🇱🇨🇱
1 Me gusta
Responder
_andresblamey
 2 sem
Grande futuro presidente de chile 2026🇨🇱✌🏻
3 Me gusta
Responder
aserracambiaso
 2 sem
💪💪💪❤️❤️❤️🇨🇱🇨🇱🇨🇱
4 Me gusta
Responder
Ocultar todas las respuestas
doloresoliden_biobio
 2 sem
🙌💪🇨🇱
3 Me gusta
Responder
Ocultar todas las respuestas
felipe_alarcon.21
 2 sem
Qué hará Kast por el deporte? 🏅🤔
1 Me gusta
Responder
Ocultar todas las respuestas
felipecastro1989
2 Me gusta
Responder
waldoverdugo90
 2 sem
❤️🇨🇱
3 Me gusta
Responder
naty_1589
 2 sem
Lo más importante es salir a las calles y recoger las necesidades de las personas 🙌🇨🇱
1 Me gusta
Responder
cidcarlita
 2 sem
Gracias presidente usted está bendecido 😇 y sé que lo hará bien gracias por ayudar a chile 🇨🇱
8 Me gusta
Responder
Ocultar todas las respuestas
3696mp
 2 sem
👏👏👏👏👏👏..Vamos Jak..Escuchando a los ciudadanos
3 Me gusta
Responder
Ocultar todas las respuestas
reneastorgagalvez
 2 sem
@3696mp 😂😂😂😂
Responder
_.felipeig._
 2 sem
la mejor campaña es conocer chile y sus necesidades, no en la tele dando entrevistas, confié en usted antes y en estas elecciones nuevamente, a recuperar chile 🇨🇱
3 Me gusta
Responder
Ocultar todas las respuestas
tiendaolirose
 2 sem
Así mi presidente,en terreno, cómo usted sabe lo q la gente necesita
3 Me gusta
Responder
Ocultar todas las respuestas
snaihauser
 2 sem
Kast presidente ❤️
2 Me gusta
Responder
Ocultar todas las respuestas
reneastorgagalvez
 2 sem
@snaihauser No
Responder
vankmicna
 2 sem
Presidente Kast , lo invito a un café aquí en Entre Lagos !!!🙌
9 Me gusta
Responder
Ocultar todas las respuestas
vankmicna
 2 sem
@150162.e si me acepta el café, tamos dao!🙌
1 Me gusta
Responder
olga.arratia.56
 2 sem
KAST PRESIDENTE DE CHILE 👏👏👏👏👏👏👏👏👏👏👏👏👏
3 Me gusta
Responder
hijadejupiter369
 2 sem
Mi presidente ❤️
2 Me gusta
Responder
subercaseauxjuan
 2 sem
VOTA KAST Próximo Presidente de Chile 🇨🇱
1 Me gusta
Responder
manediaz_leon
 2 sem
Kast..Mast..er👏👏🙌🙌💙❤️🤍💪🇨🇱
1 Me gusta
Responder
atimecer
 2 sem
VAMOS KAST 👏👏
1 Me gusta
Responder
marcelo.f.alvarez.1
 2 sem
Kast 😍🔥
3 Me gusta
Responder
camilacastillobarrera
 2 sem
👏👏👏
3 Me gusta
Responder
sebacristof
 2 sem
👏🏻👏🏻👏🏻💪🏻💪🏼💪🏼
3 Me gusta
Responder
rodokmpusanox
 2 sem
A darle con todo por 🇨🇱 ✌️
5 Me gusta
Responder
seergiolmt
 2 sem
VAMOS KAST 🙌🏻❤️
3 Me gusta
Responder
seergiolmt
 2 sem
Kast 2026 🔥🔥🔥🔥
2 Me gusta
Responder
aritejidos
 2 sem
KAST PRESIDENTE 2026 🙌🙌🙌🙌🙌🙌🙌
2 Me gusta
Responder
seergiolmt
 2 sem
🔥🔥🔥🔥🔥
2 Me gusta
Responder
elizabeth___ascui
 2 sem
KAST NUESTRO FUTURO PRESIDENTE !❤️❤️❤️❤️❤️❤️
3 Me gusta
Responder
adoniisalas
 2 sem
Vamos @joseantoniokast será el próximo presidente de chile
3 Me gusta
Responder
maribel_orregoreinoso
 2 sem
❤️❤️❤️❤️❤️❤️
1 Me gusta
Responder
manlioalvarezsanmartin
 2 sem
Grande Presi
1 Me gusta
Responder
p_republicanoiv
 2 sem
👏👏👏
3 Me gusta
Responder
pablitro1987
 2 sem
Necesitamos empresas que den trabajo !.
2 Me gusta
Responder
elsacolleno
 2 sem
💬 ¿Querías un Milei chileno? Ahí está: se llama Parisi.
No grita porque no necesita show para dejar en evidencia al sistema.
Es economista, outsider, y no vive de la política como los demás.
Les incomoda porque no lo pueden controlar.
Les da miedo porque sabe más que ellos.
Y les duele porque no lo pueden comprar.
#Parisi2025 #OutsiderReal #NoMásPolíticosProfesionales
Responder
Ocultar todas las respuestas
veronica_bascour_hayashi
 2 sem
@marcosraulnovoa Hasta de presi y Parisi de ministro.. excelente dupla
Responder
maacaagv
 2 sem
@marcosraulnovoa 🙄
Responder
fernandoruizb25
 2 sem
👏👏👏
1 Me gusta
Responder
cfgm._
 2 sem
😍
2 Me gusta
Responder
alejandro_rider00
 2 sem
🙌
2 Me gusta
Responder
milo.ayala_1
 2 sem
Bien @joseantoniokast ❤️🙌
1 Me gusta
Responder
c4miloo_17
 2 sem
👏🇨🇱🇨🇱
1 Me gusta
Responder
ortizhernancuevas
 2 sem
Excelente presidente
2 Me gusta
Responder
yeye8937
 2 sem
🙌🙌🙌🙌🙌🙌🙌
2 Me gusta
Responder
alfredoterapias
 2 sem
👏👏👏
2 Me gusta
Responder
27_sarerg
 2 sem
🔥👏
2 Me gusta
Responder
marciaalejandradiazrivera
 2 sem
👏👏👏👏👏👏
Responder
karen_gutierrezmeneses
 2 sem
👏👏👏👏👏👏
Responder
jc_maldonado777
 2 sem
👏👏👏👏👏👏👏👏👏
Responder
carlosaltamira2
 2 sem
Alguien me contó que Kast era sionista. Increíble que un tan ario y hermoso, vigiroso puede acreditarsele tan barbarico rumor.
Responder
magdalenacofre
 2 sem
🇨🇱 ❤️🙌🏼
Responder
george_andrews_82
 2 sem
👏👏👏👏👏👏
Responder
l.orlando1974
 2 sem
👏👏👏👏
Responder
iamcatarr
 2 sem
🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻
Responder
manediaz_leon
 2 sem
Colgando en tus manos...José Antonio. Me recordó la canción. Grande José Antonio, somos más y más cada día.
Responder
parys.mph
 2 sem
👏
Responder
mau.spoon
 2 sem
👏👏👏👏👏
Responder
rodrigo_alarcon_flores
 2 sem
👏👏👏👏👏👏👏
Responder
sorayamonardes
 2 sem
🙌🙌🙌🙌👏👏😍😍😍😍😍😍
Responder
marcelupiz
 2 sem
No más pobreza y delincuencia foránea …no más
Responder
enzojohan9
 2 sem
💪💪💪💪💪💪💪🇨🇱🇨🇱🇨🇱🇨🇱
Responder
_ga.nt
 2 sem
Cuando por Arica el futuro presidente?
Responder
rose_marie_salas
 2 sem
Dios permita que gane,lo deseo de todo corazón 6
Responder
delia_uribe_m
 2 sem
🇨🇱
Responder
espiritulibre8261
 2 sem
🇨🇱Kast Presidente de Chile 🇨🇱
Responder
jorgechavezgarrido
 2 sem
Ponga militares en las calles y cierre las fronteras ....van nuestros votos
Responder
paulaescalonarovegno
 2 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱👏👏👏👏👏
Responder
andres.brionest_bfn
 2 sem
Así somos los Republicanos 💪🇨🇱
Responder
tomas.marav
 2 sem
Necesitamos un Presidente como el, que trabaje en terreno, que se preocupe y ocupe de las urgencias sociales de los chilenos #KastPresidente 🫡🇨🇱
Responder
carlos.penal123
 2 sem
👏👏
Responder
pamehurtado89
 2 sem
😂
Responder
leguar
 2 sem
Vamos a tener que votar este caballero y así evitar que salga la carita de globo aunque la verdad no estoy de acuerdo pero es mal menor. Saludos
Responder
alejandropq.p
 2 sem
Kast presidente 🇨🇱🇨🇱🇨🇱🇨🇱
Responder
alvarovelozo
 2 sem
Mañana es un buen día para salir escuchando

vota 2 vota kast
Responder
conchetumatix
 2 sem
Aguante la tecnocracia
Responder
matiasespinozau99
 2 sem
Espectacular 🇨🇱🇨🇱👏
Responder
alzt1971
 2 sem
Tiene mi voto 🇨🇱👏
Responder
matiasespinozau99
 2 sem
🇨🇱🇨🇱🇨🇱🇨🇱
Responder
matiasespinozau99
 2 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
Responder
sweethousedolls
 2 sem
Grande Presidente! 👏👏👏👏👏👏👏👏
Responder
_.christiiaan
 2 sem
👏👏👏👏👏👏🇨🇱🇨🇱🇨🇱🇨🇱❤️❤️❤️
Responder
krysnavaleria
 2 sem
🇨🇱🇨🇱❤️
Responder
hilda.b.hernandez.1
Responder
soy_la_clau47
 2 sem
Eso es campaña real 🇨🇱👏 conocer a la gente
Responder
shalom_xto
 2 sem
👏👏👏👏👏👏👏👏
Responder
mendez.bernarda
 2 sem
José Antonio kast nuestro futuro presidente 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
Responder
a.pedrs
 2 sem
🙌
Responder
matias_saravia0
 1 sem
Devuelve los cables!!!!
Responder
marcelo_echegovia
Responder
magidorela
 1 sem
Kast presidente
Responder
diego.uno
 1 sem
José Antonio Kast será citado por comisión que indaga nexos con banda de robo de cables
La instancia busca que el presidenciable entregue antecedentes de la banda criminal de robo de cables liderada por el militante republicano Francisco San Martin, debido a su cercanía con él.
Responder
paaaooolaaaaarozas
 1 sem
👏👏👏👏👏
Responder
paaaooolaaaaarozas
 1 sem
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱
Responder
jose679416
 1 sem
Vamos Kast mi presidente
Responder
mayela042000
 1 sem
Ya Nadie quiere saber de politiquería , pero usted la ejerce desde lo social y es ahí donde la política se hace ciencia 🇨🇱🇨🇱
Responder
erikadiaz581
 1 sem
No más comunismo en la presidencia,ni nietos inexpertos sin estudios🇨🇱
Responder
erikadiaz581
 1 sem
La única persona que nos puede sacar del hoyo en que estamos, es José Antonio Kast.
Responder
andres_atxurra
 1 sem
😂😂😂
Responder
taby__gatita__24
 4 días
Hecese una vueltita por la Araucanía somos la región más abandonada y empobrecida del país
Responder
Ver comentarios ocultos
Estos comentarios se han ocultado porque pueden ser engañosos, resultar ofensivos o contener spam. Aun así, las personas pueden tocar para verlos.
4177 Me gusta
15 de julio
Más publicaciones de joseantoniokast
10,7 mil
4314
Meta
Información
Blog
Empleo
Ayuda
API
Privacidad
Condiciones
Ubicaciones
Instagram Lite
Threads
Subir contactos y personas no usuarias
Meta Verified
Español (España)
Afrikaans
العربية
Čeština
Dansk
Deutsch
Ελληνικά
English
English (UK)
Español (España)
Español
فارسی
Suomi
Français
עברית
Bahasa Indonesia
Italiano
日本語
한국어
Bahasa Melayu
Norsk
Nederlands
Polski
Português (Brasil)
Português (Portugal)
Русский
Svenska
ภาษาไทย
Filipino
Türkçe
中文(简体)
中文(台灣)
বাংলা
ગુજરાતી
हिन्दी
Hrvatski
Magyar
ಕನ್ನಡ
മലയാളം
मराठी
नेपाली
ਪੰਜਾਬੀ
සිංහල
Slovenčina
தமிழ்
తెలుగు
اردو
Tiếng Việt
中文(香港)
Български
Français (Canada)
Română
Српски
Українська
© 2025 Instagram from Meta
Inicio
Búsqueda
Explorar
Reels
Mensajes
Notificaciones
Crear
Perfil
Más
También de Meta",equipokast,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
"La Higuera, Región De Coquimbo","La Higuera, Región De Coquimbo",https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
franm__m,Muy bien presi 😍❤️👏👏👏 siga así !! Dios lo bendiga,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
martinnchr,¡JAK PRESIDENTE!,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
jawsker,buscando votos en vez de ganárselos trabajando? aprobando leyes desde el puesto y la gente que lo banca?,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
brianvalenzuela199,De que sirve saber las urgencias de las personas si usted gobernará para el empresario por algo quiere quitar beneficios que pag el empleador,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
tsihara,"La canción dice ""proteger la Antártica, el desierto y las fronteras"" ...cuando todo lo quiere vender a empresas extranjeras😂 y proteger las fronteras de sus principales votantes venezolanos?😂",https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
ohhsolemio,"Yo, siempre con Kast 🇨🇱 ❤️no me equivoco #KastPresidente",https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
crazynurse2019,Excelente canción 👏👏👏... Me representa del TODO obvio votaré por Kast y por Republicanos👏👏👏👏,https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
dana_isabella08,"Presidente José Antonio Kast, Cómo siempre jugandosela, por todos los CHILENOS de Norte a Sur y escuchando a las personas sin distinción alguna ud. de verdad ama a mi amado querido paí🗽🗽🗽🗽 🇨🇱🇨🇱🇨🇱🇨🇱",https://www.instagram.com/p/DMJeiiSO0Ds/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
