"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"0";"1";"None";"CanalRTU";"seed";"";"";"None";"None";"";"";"";""
"0";"2";"None";"ecuavis";"seed";"";"";"None";"None";"";"";"";""
"0";"3";"None";"diarioeltelegrafo";"seed";"";"";"None";"None";"";"";"";""
"0";"4";"None";"elcomerciocom";"seed";"";"";"None";"None";"";"";"";""
"0";"5";"None";"elmercurioec";"seed";"";"";"None";"None";"";"";"";""
"0";"6";"None";"eluniversoec";"seed";"";"";"None";"None";"";"";"";""
"0";"7";"None";"metroecuador";"seed";"";"";"None";"None";"";"";"";""
"0";"8";"None";"PrimiciasEcuador";"seed";"";"";"None";"None";"";"";"";""
"0";"9";"None";"tctelevision10";"seed";"";"";"None";"None";"";"";"";""
"0";"10";"None";"TeleamazonasEcuador";"seed";"";"";"None";"None";"";"";"";""
"1";"11";"1";"182258228481537_949001877443907";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Política|📢⚖️ El consejero del CPCCS, Gonzalo Albán exige respuestas sobre la selección de vocales del Consejo de la Judicatura y cuestionó retrasos en la entidad. Además, instó en que, trabajará para que los procesos se realicen de manera ágil, transparente y responsable. #TransparenciaYA #JusticiaSinDemoras #CPCCS  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/Yp6QTe";"2025-03-12T22:55:19+0000";"2025-03-13T01:37:43+0000";""
"1";"12";"1";"182258228481537_948997140777714";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Seguridad|🚔⚠️ La Policía ejecutó el operativo ‘Ares XIII’ en donde decomisó casi 2 toneladas de cocaína en un operativo en Machala. La droga tenía como destino Europa y estaca escondida en un contenedor de exportación. #OperativoAntidrogas #ElOro #Seguridad  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/9TeDdk";"2025-03-12T22:44:25+0000";"2025-03-13T02:51:02+0000";""
"1";"13";"1";"182258228481537_948991540778274";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ObrasPúblicas|🚧🚜La Providencia renueva sus calles con adoquines de colores, mejorando la movilidad y el turismo en Guano. El reemplazo de las calles de tierra por calles adoquinadas ha hecho la economía local crezca. #ObrasQueTransforman #ChimborazoAvanza #TurismoYDesarrollo  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/rM7YUw";"2025-03-12T22:31:19+0000";"2025-03-12T22:31:19+0000";""
"1";"14";"1";"182258228481537_948988007445294";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ObrasPúblicas|🚧✅ Chimborazo avanza en infraestructura vial. Se planifica la rehabilitación de vías y la instalación de puentes clave para la conectividad provincial. 🛣️🔨 #ChimborazoSeMueve #InfraestructuraVial #ObrasParaElPueblo  #RTUNoticias  🔗 Ver más en canalrtu.tv: https://acortar.link/ZB3F9b";"2025-03-12T22:23:19+0000";"2025-03-13T01:15:03+0000";""
"1";"15";"1";"182258228481537_948963927447702";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ATENCIÓN|🚛⚠️ Un tanquero perdió el control y colisionó en el deprimido de la Av. Granados y Simón Bolívar. No hubo heridos, pero el conductor del vehículo huyó del lugar. Además, existió alta carga vehicular por lo que se recomienda tomar rutas alternas. #Quito #Accidente #Tráfico  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/OrGHld";"2025-03-12T21:25:21+0000";"2025-03-13T01:37:12+0000";""
"1";"16";"1";"182258228481537_948960477448047";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ATENCIÓN|🔍⚖️ El abogado Santiago Hernández, defensor de Sebastián Barreiro, hijo de la vicepresidenta Abad, desapareció tras salir una audiencia. Se podría tratar de un posible secuestro. La Policía Nacional no se ha pronunciado hasta el momento. #CasoNene #JusticiaEC #Seguridad  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/OTaqKr";"2025-03-12T21:17:21+0000";"2025-03-13T01:33:49+0000";""
"1";"17";"1";"182258228481537_948949204115841";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ObrasPúblicas|🚧✅ El Concejo Metropolitano de Quito aprobó la declaratoria de interés público para la rehabilitación y extensión de la Ruta Viva. Para recuperar la inversión se propuso colocar un peaje que tendría un costo de USD 1,60 dólares. Por el momento no hay tarifas de peaje definidas. #Quito #RutaViva #Infraestructura  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/26sYP0";"2025-03-12T20:51:27+0000";"2025-03-13T01:12:35+0000";""
"1";"18";"1";"182258228481537_948926344118127";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ATENCIÓN|🔫🚨 Momentos de terror se vivieron en Samborondón, este lunes se registró un intento de asalto que terminó en balacera y pánico. El sospechoso fue detenido y pidió disculpas por lo cometido. Las autoridades se encuentran investigando si el sospechoso tiene vínculos con organizaciones delincuenciales. #SeguridadEC #Inseguridad #Justicia  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/qN2K5F";"2025-03-12T19:55:46+0000";"2025-03-13T01:30:31+0000";""
"1";"19";"1";"182258228481537_948907064120055";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#ATENCIÓN|🌧️🏡 El Gobierno anuncia medidas urgentes para apoyar a los damnificados por el invierno en Ecuador. Bonos, créditos y reconstrucción de viviendas forman parte del plan de reactivación. #EcuadorSolidario #AyudaInvernal #GobiernoActúa  #RTUNoticias   🔗Ver más en link de bio: https://acortar.link/kAVICq";"2025-03-12T19:15:38+0000";"2025-03-13T02:46:54+0000";""
"1";"20";"1";"182258228481537_948873467456748";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Política| 🌧️💪Nataly Farinango del oficialismo recalcó que las medidas tomadas por el Gobierno son tomadas para beneficiar a los ecuatorianos. A pesar de faltan recursos económicos se brindará ayuda a los damnificados. #AyudaEcuador #Solidaridad #CrisisInvernal  #RTUNoticias";"2025-03-12T18:10:03+0000";"2025-03-13T01:28:30+0000";""
"1";"21";"1";"182258228481537_948864087457686";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Seguridad| 🔍⚖️ Paola Cabezas de Revolución Ciudadana, manifestó que el acuerdo que hizo Daniel Noboa con Erik Prince representante de Blackwater, empresa de seguridad de EEUU, fue con una empresa privada más no con un aliado internacional. Además, criticó el manejo de seguridad que lo hace el Ejecutivo fuera de la normativa constitucional. #SeguridadEnDebate #Ecuador #Blackwater  #RTUNoticias";"2025-03-12T17:53:21+0000";"2025-03-13T02:47:17+0000";""
"1";"22";"1";"182258228481537_948854517458643";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Política|🏭⚖️Christian Vega, asambleísta de Revolución Ciudadana señaló que desde su punto de vista el proceso de adjudicación del campo Sacha a Sinopetrol se lo trató “con demasiada ligereza”. Vega sugirió que se debería derogar el Decreto Ejecutivo para cumplir con lo dispuesto de generar un nuevo proceso de contratación. #PetróleoEnDebate #CampoSacha #FiscalizaciónEC  #RTUNoticias";"2025-03-12T17:35:58+0000";"2025-03-12T20:48:29+0000";""
"1";"23";"1";"182258228481537_948836847460410";"data";"data.*";"fetched (200)";"2025-03-12 21:54:20.125810";"Facebook:/<page-id>/posts";"#Social|⚡🏠 El Gobierno mediante el Decreto Ejecutivo N° 561 compensará 180 kW/h en las planillas de luz de marzo para familias afectadas por el invierno en provincias en emergencia. Esta decisión es parte de las acciones de ayuda a los damnificados por la temporada invernal. #ApoyoEnergético #EcuadorSolidario #EmergenciaInvernal  #RTUNoticias   🔗 Ver más en canalrtu.tv: https://acortar.link/70K9He";"2025-03-12T17:03:09+0000";"2025-03-12T17:03:09+0000";""
