"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"0";"1";"None";"CancilleriaCol";"seed";"";"";"None";"None";"";"";"";""
"0";"2";"None";"RegistraduriaNacional";"seed";"";"";"None";"None";"";"";"";""
"0";"3";"None";"MinIgualdadCol";"seed";"";"";"None";"None";"";"";"";""
"0";"4";"None";"acnurcolombia";"seed";"";"";"None";"None";"";"";"";""
"0";"5";"None";"OIMColombia";"seed";"";"";"None";"None";"";"";"";""
"0";"6";"None";"unicefcolombia";"seed";"";"";"None";"None";"";"";"";""
"0";"7";"None";"MigracionCol";"seed";"";"";"None";"None";"";"";"";""
"0";"8";"None";"infopalanteorg";"seed";"";"";"None";"None";"";"";"";""
"1";"9";"1";"594700783880121_1084223773733511";"data";"data.*";"fetched (200)";"2025-04-22 07:20:24.547267";"Facebook:/<page-id>/posts";"La Canciller @laurisarabia participará en el Consejo de Seguridad de la ONU para movilizar apoyo internacional en la implementaron del Acuerdo de Paz. 🕊  Acá les contamos de qué se trata 👆";"2025-04-20T18:48:07+0000";"2025-04-21T23:49:51+0000";""
"1";"10";"1";"594700783880121_1083562200466335";"data";"data.*";"fetched (200)";"2025-04-22 07:20:24.547267";"Facebook:/<page-id>/posts";"En esta época de Semana Santa sigue estos consejos para que la fiebre amarilla no te dañe el rato...  ✅Cuídate de las picaduras de mosquitos ✅Usa repelente ✅Ropa que cubra tu piel  Y no lo olvides, la vacuna para la fiebre amarilla es gratuita  #ColombiaSinFiebreAmarilla";"2025-04-19T22:47:07+0000";"2025-04-19T22:47:07+0000";""
"1";"11";"1";"594700783880121_1083429327146289";"data";"data.*";"fetched (200)";"2025-04-22 07:20:24.547267";"Facebook:/<page-id>/posts";"Toma precauciones, la fiebre amarilla no se va de vacaciones!  Vacúnate ahora y cuida tu salud  Esta vacuna es gratuita, segura y eficaz.  #ColombiaSinFiebreAmarilla";"2025-04-19T18:04:54+0000";"2025-04-19T21:21:10+0000";""
"1";"12";"1";"594700783880121_1081160250706530";"data";"data.*";"fetched (200)";"2025-04-22 07:20:24.547267";"Facebook:/<page-id>/posts";"🌿 La #BellezaEscondida de Tolú va más allá de la costa. Descubre cascadas impresionantes, paisajes exuberantes y aventuras sin fin en #ElPaísDeLaBelleza.  Conoce más en: https://colombia.travel/es/explora-clan-destinos-ocultos-colombia";"2025-04-16T19:02:45+0000";"2025-04-16T19:02:45+0000";""
"1";"13";"1";"594700783880121_1080971160725439";"data";"data.*";"fetched (200)";"2025-04-22 07:20:24.547267";"Facebook:/<page-id>/posts";"Representa a Colombia con orgullo en el escenario global.Como diplomático, serás la voz de nuestra identidad y el puente que une a Colombia con el mundo. ¡#TuEresNuestroPuenteParaLaDiplomacia!";"2025-04-16T14:03:58+0000";"2025-04-18T07:29:19+0000";""
