level;id;parent_id;object_id;object_type;object_key;query_status;query_time;query_type;message;created_time;updated_time;error.message
0;1;None;CarolinaTohaM;seed;;;None;None;;;;
0;2;None;JeannetteJaraRoman;seed;;;None;None;;;;
0;3;None;GonzaloWinterPresidente;seed;;;None;None;;;;
0;4;None;joseantoniokast;seed;;;None;None;;;;
0;5;None;DiputadoJohannesKaiser;seed;;;None;None;;;;
0;6;None;evelynmatthei;seed;;;None;None;;;;
1;7;1;1569387640022323_1102587931684803;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Nunca he sido partidaria de romper relaciones como símbolo. No sirve. Lo que sirve es tener una política exterior activa, firme y coherente. Defender los derechos humanos en Palestina, en Venezuela, en Rusia, en Nicaragua, en Chile y donde sea que se violen. Eso es lo que hago y lo que seguiré haciendo. #CreoEnChile;2025-05-30T23:08:30+0000;2025-05-31T02:13:27+0000;
1;8;1;1569387640022323_1102418518368411;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Hoy en el Diario Financiero, la Jefa programática Francisca Pérez explicó que en nuestra campaña volveremos a tomarnos en serio el crecimiento:  Sin eslóganes vacíos, con responsabilidad y seriedad.   #CreoEnChile;2025-05-30T17:44:24+0000;2025-05-31T01:36:24+0000;
1;9;1;1569387640022323_1102253805051549;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Desde el puerto de San Antonio hasta las playas de Cartagena, compartimos con personas de todas las edades, escuchamos sus historias y bailamos una buena cueca brava. Esta campaña se vive en cada rincón, con alegría, convicción y compromiso por un Chile mejor. #CreoEnChile 🇨🇱💃🕺;2025-05-30T13:20:26+0000;2025-05-31T01:13:00+0000;
1;10;1;1569387640022323_1101798578430405;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;🎉 ¡La campaña legal de primarias comienza en todo Chile!  Desde este viernes se realizarán actividades en TODO CHILE, en las 16 regiones del país y en un centenar de comunas.  Habrá encuentros en plazas, música, intervenciones urbanas, banderazos, caravanas y volanteos de personas que creen en Chile. Ven con tu familia y amigos. Encuentra el punto de tu región y súmate!  💬 Porque esta campaña no parte en un solo lugar: parte en todo Chile. 📝 Cuéntanos tu actividad comunal con el hashtag #CreoEnChile para difundirla!;2025-05-29T22:19:24+0000;2025-05-29T22:19:24+0000;
1;11;1;1569387640022323_1101708655106064;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Ayer estuvimos en Peñalolén y no pude evitar recordar mis primeros años realizando trabajo político en la población Lo Hermida, en esa época en que hacíamos los volantes con plumón. Yo vi y viví ese Peñalolén, ese Chile.;2025-05-29T18:58:19+0000;2025-05-30T22:03:36+0000;
1;12;1;1569387640022323_1101615925115337;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Seguimos recorriendo el país 💪🏽🇨🇱 Ayer estuvimos en Padre Hurtado, Talagante y Peñalolén. Hablamos de lo que importa: vivienda digna, sistema de cuidados, salud oportuna y seguridad para vivir tranquilos. Gracias a las cientos de personas que creen en Chile. #CreoEnChile;2025-05-29T16:03:44+0000;2025-05-31T02:01:08+0000;
1;13;1;1569387640022323_1101141655162764;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Algunos me han dicho que me tengo que cambiar mi corte de pelo. A mi me gusta mucho mi estilo ¿ustedes qué opinan? 💇‍♀️💇‍♀️;2025-05-29T00:24:40+0000;2025-05-31T01:37:13+0000;
1;14;1;1569387640022323_1101070461836550;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;Un pie de cueca en Padre Hurtado 🇨🇱;2025-05-28T22:02:29+0000;2025-05-30T23:46:32+0000;
1;15;1;1569387640022323_1101023395174590;data;data.*;fetched (200);2025-05-30 21:16:13.310340;Facebook:/<page-id>/posts;🎉 ¡Comienza la campaña legal de primarias! Este sábado 31 de mayo a las 11:00 hrs, te esperamos en la esquina de París con Londres, comuna de Santiago, para celebrar junt@s este nuevo paso.  Habrá música, una intervención urbana y, por supuesto, la presencia de nuestra candidata. Ven a ser parte de esta fiesta ciudadana. ¡Súmate y trae a quienes quieran un Chile mejor! #CreoEnChile;2025-05-28T20:11:57+0000;2025-05-30T12:09:44+0000;
